177,LicensePlate,2024-12-21 11:35:10,2024-12-21 11:35:13,"{""box"":{""left"":2323,""right"":6581,""top"":2579,""bottom"":6907},""time"":1734748510092}",,,和歌山,300,む
179,LicensePlate,2024-12-21 11:35:14,2024-12-21 11:35:18,"{""box"":{""left"":5976,""right"":8161,""top"":6575,""bottom"":9237},""time"":1734748514401}",,,6,2,2
180,Face,2024-12-21 11:35:19,2024-12-21 11:35:19,"{""box"":{""left"":5772,""right"":2683,""top"":6711,""bottom"":4050},""time"":1734748519948}","45,54",male,,,
