184,LicensePlate,2024-12-30 10:14:20,2024-12-30 10:14:31,"{""box"":{""left"":2466,""right"":6939,""top"":2834,""bottom"":7312},""time"":1735521260341}",,,富士山,40,さ
186,LicensePlate,2024-12-30 10:15:56,2024-12-30 10:15:58,"{""box"":{""left"":2613,""right"":6914,""top"":2868,""bottom"":7245},""time"":1735521356261}",,,京都,302,ま
187,LicensePlate,2024-12-30 10:16:02,2024-12-30 10:16:03,"{""box"":{""left"":5678,""right"":8038,""top"":6302,""bottom"":9363},""time"":1735521362102}",,,京都,302,ま
189,LicensePlate,2024-12-30 10:16:04,2024-12-30 10:16:09,"{""box"":{""left"":2570,""right"":6867,""top"":2851,""bottom"":7256},""time"":1735521364873}",,,一宮,301,に
190,LicensePlate,2024-12-30 10:16:10,2024-12-30 10:16:10,"{""box"":{""left"":6310,""right"":7474,""top"":6934,""bottom"":9234},""time"":1735521370058}",,,一宮,300,に
191,LicensePlate,2024-12-30 10:16:13,2024-12-30 10:16:14,"{""box"":{""left"":6217,""right"":7573,""top"":6866,""bottom"":9045},""time"":1735521373058}",,,一宮,300,に
193,LicensePlate,2024-12-30 10:17:07,2024-12-30 10:17:16,"{""box"":{""left"":2172,""right"":6928,""top"":2445,""bottom"":7244},""time"":1735521427218}",,,和泉,581,ま
