571,LicensePlate,2024-12-30 14:52:53,2024-12-30 14:53:06,"{""box"":{""left"":2478,""right"":6674,""top"":2721,""bottom"":7025},""time"":1735537973781}",,,板橋,500,わ
573,LicensePlate,2024-12-30 14:55:33,2024-12-30 14:55:38,"{""box"":{""left"":2698,""right"":6722,""top"":2979,""bottom"":7076},""time"":1735538133028}",,,京都,303,ま
574,LicensePlate,2024-12-30 14:55:39,2024-12-30 14:55:55,"{""box"":{""left"":6303,""right"":7838,""top"":6778,""bottom"":9034},""time"":1735538139368}",,,京都,302,ま
