placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
rainbow-line-parking-lot-1-gate,Face,2025-04-01 00:00:00,2025-04-02 00:00:00,51,1,7,4,1,6,4,5,11,4,1,0,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-04-02 00:00:00,2025-04-03 00:00:00,57,0,5,2,2,7,6,4,8,10,0,0,1,1,2,0,1,4,4,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-04-03 00:00:00,2025-04-04 00:00:00,24,0,2,4,2,3,2,2,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-04-04 00:00:00,2025-04-05 00:00:00,72,0,2,2,8,5,10,7,14,10,0,0,4,0,2,1,3,2,2,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-04-05 00:00:00,2025-04-06 00:00:00,290,0,33,15,10,19,13,21,59,84,0,2,4,1,7,4,4,7,7,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-04-06 00:00:00,2025-04-07 00:00:00,238,0,30,11,7,10,21,24,52,53,0,6,3,2,3,3,1,2,10,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-04-07 00:00:00,2025-04-08 00:00:00,65,0,12,5,2,3,6,6,11,10,0,1,0,2,3,0,1,1,2,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-04-08 00:00:00,2025-04-09 00:00:00,50,0,6,4,2,4,4,4,6,9,0,0,1,2,0,1,2,2,3,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-04-09 00:00:00,2025-04-10 00:00:00,100,0,10,6,2,8,6,12,21,22,0,1,2,1,0,2,0,4,3,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-04-10 00:00:00,2025-04-11 00:00:00,29,0,4,1,2,1,3,4,5,6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-04-11 00:00:00,2025-04-12 00:00:00,25,0,0,1,1,4,4,2,3,7,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-04-12 00:00:00,2025-04-13 00:00:00,356,2,68,21,17,24,24,32,57,87,0,4,3,1,3,3,2,3,5,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-04-13 00:00:00,2025-04-14 00:00:00,22,0,5,0,2,4,2,3,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
