197,LicensePlate,2024-11-01 12:46:25,2024-11-01 12:46:38,"{""box"":{""left"":2203,""right"":6804,""top"":2464,""bottom"":7084},""time"":1730432785849},{""box"":{""left"":2203,""right"":6804,""top"":2464,""bottom"":7084},""time"":1730432788814},{""box"":{""left"":2203,""right"":6804,""top"":2464,""bottom"":7084},""time"":1730432789821},{""box"":{""left"":2203,""right"":6804,""top"":2464,""bottom"":7084},""time"":1730432790849},{""box"":{""left"":2203,""right"":6804,""top"":2464,""bottom"":7084},""time"":1730432791857},{""box"":{""left"":2203,""right"":6804,""top"":2464,""bottom"":7084},""time"":1730432792886},{""box"":{""left"":2203,""right"":6804,""top"":2464,""bottom"":7084},""time"":1730432793893},{""box"":{""left"":2203,""right"":6804,""top"":2464,""bottom"":7084},""time"":1730432794931},{""box"":{""left"":2203,""right"":6804,""top"":2464,""bottom"":7084},""time"":1730432795998},{""box"":{""left"":2203,""right"":6804,""top"":2464,""bottom"":7084},""time"":1730432797036},{""box"":{""left"":2203,""right"":6804,""top"":2464,""bottom"":7084},""time"":1730432798064}",,,福井,500,わ
198,LicensePlate,2024-11-01 12:47:49,2024-11-01 12:47:51,"{""box"":{""left"":2682,""right"":6976,""top"":2910,""bottom"":7299},""time"":1730432869701},{""box"":{""left"":2682,""right"":6976,""top"":2910,""bottom"":7299},""time"":1730432870736}",,,滋賀,400,て
199,LicensePlate,2024-11-01 12:47:57,2024-11-01 12:47:59,"{""box"":{""left"":5718,""right"":7870,""top"":6362,""bottom"":9223},""time"":1730432877286},{""box"":{""left"":5718,""right"":7870,""top"":6362,""bottom"":9223},""time"":1730432878313}",,,滋賀,400,て
