823,LicensePlate,2025-01-19 15:01:05,2025-01-19 15:01:06,"{""box"":{""left"":2974,""right"":6452,""top"":3273,""bottom"":6885},""time"":1737266465679}",,,福井,800,す
825,LicensePlate,2025-01-19 15:01:22,2025-01-19 15:01:26,"{""box"":{""left"":2387,""right"":6680,""top"":2645,""bottom"":7012},""time"":1737266482987}",,,神戸,304,ね
826,LicensePlate,2025-01-19 15:01:27,2025-01-19 15:01:35,"{""box"":{""left"":6063,""right"":8060,""top"":6729,""bottom"":9427},""time"":1737266487668}",,,神戸,304,ね
828,LicensePlate,2025-01-19 15:03:44,2025-01-19 15:03:47,"{""box"":{""left"":2447,""right"":6706,""top"":2690,""bottom"":7024},""time"":1737266624528}",,,和泉,521,わ
829,LicensePlate,2025-01-19 15:03:51,2025-01-19 15:03:54,"{""box"":{""left"":5480,""right"":7950,""top"":6111,""bottom"":9200},""time"":1737266631602}",,,和泉,501,わ
831,LicensePlate,2025-01-19 15:04:23,2025-01-19 15:04:27,"{""box"":{""left"":2509,""right"":6638,""top"":2918,""bottom"":7037},""time"":1737266663806}",,,水戸,301,も
832,LicensePlate,2025-01-19 15:04:30,2025-01-19 15:04:32,"{""box"":{""left"":6181,""right"":6940,""top"":6771,""bottom"":8372},""time"":1737266670371},{""box"":{""left"":6433,""right"":6931,""top"":7023,""bottom"":8382},""time"":1737266672012}",,,水戸,301,も
833,LicensePlate,2025-01-19 15:04:36,2025-01-19 15:04:39,"{""box"":{""left"":2449,""right"":6605,""top"":2774,""bottom"":6960},""time"":1737266676931}",,,富山,301,ひ
834,LicensePlate,2025-01-19 15:04:42,2025-01-19 15:04:43,"{""box"":{""left"":5934,""right"":7247,""top"":6510,""bottom"":8416},""time"":1737266682219}",,,富山,301,ひ
