placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
rainbow-line-parking-lot-1-gate,Face,2026-07-25 00:00:00,2026-07-25 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 01:00:00,2026-07-25 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 02:00:00,2026-07-25 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 03:00:00,2026-07-25 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 04:00:00,2026-07-25 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 05:00:00,2026-07-25 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 06:00:00,2026-07-25 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 07:00:00,2026-07-25 08:00:00,9,0,3,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 08:00:00,2026-07-25 09:00:00,32,1,20,1,1,2,0,0,3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 09:00:00,2026-07-25 10:00:00,20,0,6,0,1,1,4,2,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 10:00:00,2026-07-25 11:00:00,5,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 11:00:00,2026-07-25 12:00:00,44,0,11,3,2,3,2,6,10,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 12:00:00,2026-07-25 13:00:00,88,0,18,9,0,3,7,10,19,9,0,1,2,1,2,1,0,1,5,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 13:00:00,2026-07-25 14:00:00,56,1,21,4,0,4,8,8,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 14:00:00,2026-07-25 15:00:00,72,0,24,4,2,5,8,7,8,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 15:00:00,2026-07-25 16:00:00,74,1,30,1,2,4,5,9,13,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 16:00:00,2026-07-25 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 17:00:00,2026-07-25 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 18:00:00,2026-07-25 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 19:00:00,2026-07-25 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 20:00:00,2026-07-25 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 21:00:00,2026-07-25 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 22:00:00,2026-07-25 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2026-07-25 23:00:00,2026-07-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
