175,LicensePlate,2025-01-17 14:58:22,2025-01-17 14:58:23,"{""box"":{""left"":3259,""right"":6825,""top"":3572,""bottom"":7229},""time"":1737093502184}",,,滋賀,400,て
176,LicensePlate,2025-01-17 14:58:57,2025-01-17 14:59:01,"{""box"":{""left"":2440,""right"":6844,""top"":2704,""bottom"":7178},""time"":1737093537381}",,,大宮,331,な
177,LicensePlate,2025-01-17 14:59:02,2025-01-17 14:59:07,"{""box"":{""left"":5768,""right"":8431,""top"":6388,""bottom"":9747},""time"":1737093542079}",,,大宮,331,な
