242,LicensePlate,2024-12-09 11:45:35,2024-12-09 11:45:51,"{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712335393},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712338051},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712339018},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712340015},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712341025},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712342022},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712343021},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712344029},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712345036},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712346002},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712347039},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712348005},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712349002},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712350042},{""box"":{""left"":2096,""right"":6840,""top"":2329,""bottom"":7128},""time"":1733712351049}",,,京都,582,こ
243,Face,2024-12-09 11:45:52,2024-12-09 11:45:52,"{""box"":{""left"":5914,""right"":3932,""top"":6743,""bottom"":5153},""time"":1733712352255}","13,17",male,,,
244,LicensePlate,2024-12-09 11:46:08,2024-12-09 11:46:13,"{""box"":{""left"":2357,""right"":6620,""top"":2615,""bottom"":6933},""time"":1733712368751},{""box"":{""left"":2357,""right"":6620,""top"":2615,""bottom"":6933},""time"":1733712371026},{""box"":{""left"":2357,""right"":6620,""top"":2615,""bottom"":6933},""time"":1733712372024},{""box"":{""left"":2357,""right"":6620,""top"":2615,""bottom"":6933},""time"":1733712373000}",,,和泉,332,り
245,LicensePlate,2024-12-09 11:46:18,2024-12-09 11:46:20,"{""box"":{""left"":5837,""right"":7844,""top"":6497,""bottom"":9158},""time"":1733712378310},{""box"":{""left"":5837,""right"":7844,""top"":6497,""bottom"":9158},""time"":1733712380049}",,,和泉,332,り
246,Face,2024-12-09 11:46:21,2024-12-09 11:46:21,"{""box"":{""left"":5126,""right"":4397,""top"":5857,""bottom"":5461},""time"":1733712381182}","25,34",male,,,
