160,LicensePlate,2024-12-09 10:22:13,2024-12-09 10:22:19,"{""box"":{""left"":2455,""right"":6743,""top"":2726,""bottom"":7066},""time"":1733707333070},{""box"":{""left"":2455,""right"":6743,""top"":2726,""bottom"":7066},""time"":1733707335035},{""box"":{""left"":2455,""right"":6743,""top"":2726,""bottom"":7066},""time"":1733707336141},{""box"":{""left"":2455,""right"":6743,""top"":2726,""bottom"":7066},""time"":1733707337707},{""box"":{""left"":2455,""right"":6743,""top"":2726,""bottom"":7066},""time"":1733707338010},{""box"":{""left"":2455,""right"":6743,""top"":2726,""bottom"":7066},""time"":1733707339016}",,,長野,581,さ
162,LicensePlate,2024-12-09 10:22:42,2024-12-09 10:22:45,"{""box"":{""left"":3006,""right"":6676,""top"":3240,""bottom"":6995},""time"":1733707362165},{""box"":{""left"":3006,""right"":6676,""top"":3240,""bottom"":6995},""time"":1733707363027},{""box"":{""left"":3006,""right"":6676,""top"":3240,""bottom"":6995},""time"":1733707364003},{""box"":{""left"":3006,""right"":6676,""top"":3240,""bottom"":6995},""time"":1733707365001}",,,なにわ,301,も
163,LicensePlate,2024-12-09 10:22:46,2024-12-09 10:22:51,"{""box"":{""left"":6279,""right"":7702,""top"":6942,""bottom"":9156},""time"":1733707366469},{""box"":{""left"":6279,""right"":7702,""top"":6942,""bottom"":9156},""time"":1733707367009},{""box"":{""left"":6279,""right"":7702,""top"":6942,""bottom"":9156},""time"":1733707368007},{""box"":{""left"":6279,""right"":7702,""top"":6942,""bottom"":9156},""time"":1733707369014},{""box"":{""left"":6279,""right"":7702,""top"":6942,""bottom"":9156},""time"":1733707370011},{""box"":{""left"":6279,""right"":7702,""top"":6942,""bottom"":9156},""time"":1733707371019}",,,なにわ,301,も
164,Face,2024-12-09 10:22:52,2024-12-09 10:22:52,"{""box"":{""left"":5227,""right"":3613,""top"":6006,""bottom"":4746},""time"":1733707372486}","25,34",female,,,
165,LicensePlate,2024-12-09 10:23:03,2024-12-09 10:23:11,"{""box"":{""left"":2315,""right"":6506,""top"":2592,""bottom"":6809},""time"":1733707383877},{""box"":{""left"":2315,""right"":6506,""top"":2592,""bottom"":6809},""time"":1733707386019},{""box"":{""left"":2315,""right"":6506,""top"":2592,""bottom"":6809},""time"":1733707387046},{""box"":{""left"":2315,""right"":6506,""top"":2592,""bottom"":6809},""time"":1733707388052},{""box"":{""left"":2315,""right"":6506,""top"":2592,""bottom"":6809},""time"":1733707389060},{""box"":{""left"":2315,""right"":6506,""top"":2592,""bottom"":6809},""time"":1733707390056},{""box"":{""left"":2315,""right"":6506,""top"":2592,""bottom"":6809},""time"":1733707391023}",,,尾張小牧,330,み
166,LicensePlate,2024-12-09 10:23:25,2024-12-09 10:23:29,"{""box"":{""left"":6341,""right"":7156,""top"":6874,""bottom"":8489},""time"":1733707405955},{""box"":{""left"":6341,""right"":7156,""top"":6874,""bottom"":8489},""time"":1733707409037}",,,尾張小牧,330,み
