88,LicensePlate,2024-12-07 09:55:04,2024-12-07 09:55:14,"{""box"":{""left"":2465,""right"":6844,""top"":2702,""bottom"":7111},""time"":1733532904796},{""box"":{""left"":2465,""right"":6844,""top"":2702,""bottom"":7111},""time"":1733532906020},{""box"":{""left"":2465,""right"":6844,""top"":2702,""bottom"":7111},""time"":1733532907026},{""box"":{""left"":2465,""right"":6844,""top"":2702,""bottom"":7111},""time"":1733532908022},{""box"":{""left"":2465,""right"":6844,""top"":2702,""bottom"":7111},""time"":1733532909029},{""box"":{""left"":2465,""right"":6844,""top"":2702,""bottom"":7111},""time"":1733532910035},{""box"":{""left"":2465,""right"":6844,""top"":2702,""bottom"":7111},""time"":1733532911003},{""box"":{""left"":2465,""right"":6844,""top"":2702,""bottom"":7111},""time"":1733532912000},{""box"":{""left"":2465,""right"":6844,""top"":2702,""bottom"":7111},""time"":1733532913038},{""box"":{""left"":2465,""right"":6844,""top"":2702,""bottom"":7111},""time"":1733532914508}",,,神戸,302,せ
89,LicensePlate,2024-12-07 09:55:16,2024-12-07 09:55:23,"{""box"":{""left"":5655,""right"":8326,""top"":6349,""bottom"":9627},""time"":1733532916078},{""box"":{""left"":5655,""right"":8326,""top"":6349,""bottom"":9627},""time"":1733532919020},{""box"":{""left"":5655,""right"":8326,""top"":6349,""bottom"":9627},""time"":1733532920016},{""box"":{""left"":5655,""right"":8326,""top"":6349,""bottom"":9627},""time"":1733532921025},{""box"":{""left"":5655,""right"":8326,""top"":6349,""bottom"":9627},""time"":1733532922003},{""box"":{""left"":5655,""right"":8326,""top"":6349,""bottom"":9627},""time"":1733532923000}",,,さ,74,2
90,LicensePlate,2024-12-07 09:56:01,2024-12-07 09:56:03,"{""box"":{""left"":2622,""right"":6782,""top"":2921,""bottom"":7187},""time"":1733532961881},{""box"":{""left"":2622,""right"":6782,""top"":2921,""bottom"":7187},""time"":1733532963020}",,,富山,301,に
91,LicensePlate,2024-12-07 09:56:03,2024-12-07 09:56:03,"{""box"":{""left"":4953,""right"":7422,""top"":5422,""bottom"":8281},""time"":1733532963718}",,,富山,301,に
93,LicensePlate,2024-12-07 09:56:04,2024-12-07 09:56:10,"{""box"":{""left"":6342,""right"":7681,""top"":6852,""bottom"":8843},""time"":1733532964618},{""box"":{""left"":6342,""right"":7681,""top"":6852,""bottom"":8843},""time"":1733532970000}",,,富山,301,に
