310,LicensePlate,2024-12-07 13:18:52,2024-12-07 13:19:21,"{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545132218},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545133014},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545134051},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545135059},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545136028},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545137006},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545138004},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545139004},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545140047},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545141047},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545142046},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545143009},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545144022},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545145016},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545146020},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545147027},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545148022},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545149026},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545150028},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545151002},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545152005},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545153008},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545154001},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545155038},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545156045},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545157047},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545158009},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545159012},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545160015},{""box"":{""left"":2456,""right"":6506,""top"":2765,""bottom"":6871},""time"":1733545161012}",,,豊橋,230,う
312,LicensePlate,2024-12-07 13:20:23,2024-12-07 13:20:31,"{""box"":{""left"":2470,""right"":6463,""top"":2710,""bottom"":6747},""time"":1733545223628},{""box"":{""left"":2470,""right"":6463,""top"":2710,""bottom"":6747},""time"":1733545224023},{""box"":{""left"":2470,""right"":6463,""top"":2710,""bottom"":6747},""time"":1733545225029},{""box"":{""left"":2470,""right"":6463,""top"":2710,""bottom"":6747},""time"":1733545226025},{""box"":{""left"":2470,""right"":6463,""top"":2710,""bottom"":6747},""time"":1733545227034},{""box"":{""left"":2470,""right"":6463,""top"":2710,""bottom"":6747},""time"":1733545228001},{""box"":{""left"":2470,""right"":6463,""top"":2710,""bottom"":6747},""time"":1733545229000},{""box"":{""left"":2470,""right"":6463,""top"":2710,""bottom"":6747},""time"":1733545230006},{""box"":{""left"":2470,""right"":6463,""top"":2710,""bottom"":6747},""time"":1733545231003}",,,岐阜,363,み
313,LicensePlate,2024-12-07 13:20:35,2024-12-07 13:20:37,"{""box"":{""left"":5971,""right"":7077,""top"":6606,""bottom"":8386},""time"":1733545235221},{""box"":{""left"":5971,""right"":7077,""top"":6606,""bottom"":8386},""time"":1733545237022}",,,岐阜,363,み
