663,LicensePlate,2024-11-22 14:54:34,2024-11-22 14:55:06,"{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254874141},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254875004},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254876000},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254877007},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254878003},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254879011},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254880019},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254881060},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254882058},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254883055},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254884023},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254885021},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254886028},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254887026},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254888003},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254889000},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254890007},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254891006},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254892013},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254893010},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254894018},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254895046},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254896053},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254897050},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254898057},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254899024},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254900030},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254901027},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254902026},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254903001},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254904008},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254905016},{""box"":{""left"":2490,""right"":6812,""top"":2754,""bottom"":7150},""time"":1732254906012}",,,京都,330,て
664,Face,2024-11-22 14:55:07,2024-11-22 14:55:07,"{""box"":{""left"":5101,""right"":5514,""top"":5570,""bottom"":6156},""time"":1732254907483}","55,64",female,,,
665,Face,2024-11-22 14:55:07,2024-11-22 14:55:07,"{""box"":{""left"":7042,""right"":4948,""top"":7764,""bottom"":5960},""time"":1732254907815}","45,54",female,,,
667,LicensePlate,2024-11-22 14:56:50,2024-11-22 14:56:57,"{""box"":{""left"":2176,""right"":6661,""top"":2440,""bottom"":6957},""time"":1732255010928},{""box"":{""left"":2176,""right"":6661,""top"":2440,""bottom"":6957},""time"":1732255013001},{""box"":{""left"":2176,""right"":6661,""top"":2440,""bottom"":6957},""time"":1732255014003},{""box"":{""left"":2176,""right"":6661,""top"":2440,""bottom"":6957},""time"":1732255015003},{""box"":{""left"":2176,""right"":6661,""top"":2440,""bottom"":6957},""time"":1732255016011},{""box"":{""left"":2176,""right"":6661,""top"":2440,""bottom"":6957},""time"":1732255017001}",,,名古屋,330,ほ
668,LicensePlate,2024-11-22 14:57:00,2024-11-22 14:57:02,"{""box"":{""left"":5753,""right"":7646,""top"":6388,""bottom"":8983},""time"":1732255020215},{""box"":{""left"":5753,""right"":7646,""top"":6388,""bottom"":8983},""time"":1732255022056}",,,名古屋,330,ほ
