441,LicensePlate,2024-11-18 11:14:00,2024-11-18 11:14:01,"{""box"":{""left"":2507,""right"":6929,""top"":2785,""bottom"":7317},""time"":1731896040508},{""box"":{""left"":2507,""right"":6929,""top"":2785,""bottom"":7317},""time"":1731896041030}",,,福井,480,そ
444,LicensePlate,2024-11-18 11:18:16,2024-11-18 11:18:24,"{""box"":{""left"":2395,""right"":6748,""top"":2659,""bottom"":7032},""time"":1731896296658},{""box"":{""left"":2395,""right"":6748,""top"":2659,""bottom"":7032},""time"":1731896298027},{""box"":{""left"":2395,""right"":6748,""top"":2659,""bottom"":7032},""time"":1731896299025},{""box"":{""left"":2395,""right"":6748,""top"":2659,""bottom"":7032},""time"":1731896300032},{""box"":{""left"":2395,""right"":6748,""top"":2659,""bottom"":7032},""time"":1731896301028},{""box"":{""left"":2395,""right"":6748,""top"":2659,""bottom"":7032},""time"":1731896302034},{""box"":{""left"":2395,""right"":6748,""top"":2659,""bottom"":7032},""time"":1731896303042},{""box"":{""left"":2395,""right"":6748,""top"":2659,""bottom"":7032},""time"":1731896304008}",,,静岡,502,ね
445,LicensePlate,2024-11-18 11:18:27,2024-11-18 11:18:33,"{""box"":{""left"":5436,""right"":7972,""top"":6091,""bottom"":9195},""time"":1731896307176},{""box"":{""left"":5436,""right"":7972,""top"":6091,""bottom"":9195},""time"":1731896313026}",,,静岡,502,ね
446,Face,2024-11-18 11:18:34,2024-11-18 11:18:34,"{""box"":{""left"":5313,""right"":4647,""top"":6045,""bottom"":5711},""time"":1731896314402}","25,34",male,,,
