693,LicensePlate,2024-11-18 15:26:20,2024-11-18 15:26:22,"{""box"":{""left"":2733,""right"":6963,""top"":3068,""bottom"":7421},""time"":1731911180200},{""box"":{""left"":2733,""right"":6963,""top"":3068,""bottom"":7421},""time"":1731911181019},{""box"":{""left"":2733,""right"":6963,""top"":3068,""bottom"":7421},""time"":1731911182024}",,,滋賀,301,み
694,LicensePlate,2024-11-18 15:26:24,2024-11-18 15:26:26,"{""box"":{""left"":6608,""right"":7935,""top"":7041,""bottom"":9682},""time"":1731911184637},{""box"":{""left"":6608,""right"":7935,""top"":7041,""bottom"":9682},""time"":1731911186100}",,,3,135,1
695,Face,2024-11-18 15:26:27,2024-11-18 15:26:28,"{""box"":{""left"":6238,""right"":4514,""top"":7120,""bottom"":5720},""time"":1731911187980},{""box"":{""left"":6457,""right"":4358,""top"":7350,""bottom"":5725},""time"":1731911188040}","25,34",male,,,
