681,LicensePlate,2024-11-14 12:43:38,2024-11-14 12:44:13,"{""box"":{""left"":6368,""right"":7245,""top"":6865,""bottom"":8419},""time"":1731555818370},{""box"":{""left"":6368,""right"":7245,""top"":6865,""bottom"":8419},""time"":1731555853026}",,,神戸,504,ら
682,Face,2024-11-14 12:43:38,2024-11-14 12:43:41,"{""box"":{""left"":1984,""right"":4818,""top"":2344,""bottom"":5318},""time"":1731555818705}","55,64",male,,,
683,Face,2024-11-14 12:43:47,2024-11-14 12:43:48,"{""box"":{""left"":1965,""right"":4867,""top"":2331,""bottom"":5367},""time"":1731555827403}","55,64",male,,,
684,Face,2024-11-14 12:44:00,2024-11-14 12:44:00,"{""box"":{""left"":2195,""right"":4882,""top"":2539,""bottom"":5351},""time"":1731555840465}","6,12",male,,,
685,Face,2024-11-14 12:44:04,2024-11-14 12:44:04,"{""box"":{""left"":2159,""right"":4976,""top"":2511,""bottom"":5445},""time"":1731555844978}","45,54",male,,,
686,Face,2024-11-14 12:44:09,2024-11-14 12:44:13,"{""box"":{""left"":2278,""right"":5302,""top"":2643,""bottom"":5744},""time"":1731555849315}","55,64",male,,,
687,LicensePlate,2024-11-14 12:44:17,2024-11-14 12:44:20,"{""box"":{""left"":2734,""right"":6545,""top"":3070,""bottom"":6929},""time"":1731555857429},{""box"":{""left"":2734,""right"":6545,""top"":3070,""bottom"":6929},""time"":1731555858029},{""box"":{""left"":2734,""right"":6545,""top"":3070,""bottom"":6929},""time"":1731555859005},{""box"":{""left"":2734,""right"":6545,""top"":3070,""bottom"":6929},""time"":1731555860043}",,,滋賀,333,ぬ
688,LicensePlate,2024-11-14 12:44:21,2024-11-14 12:44:33,"{""box"":{""left"":6501,""right"":6965,""top"":6975,""bottom"":8145},""time"":1731555861874},{""box"":{""left"":6501,""right"":6965,""top"":6975,""bottom"":8145},""time"":1731555873008}",,,滋賀,339,ぬ
689,Face,2024-11-14 12:44:29,2024-11-14 12:44:29,"{""box"":{""left"":1003,""right"":4471,""top"":1417,""bottom"":5074},""time"":1731555869633}","55,64",male,,,
