485,LicensePlate,2024-11-14 11:44:03,2024-11-14 11:44:16,"{""box"":{""left"":2382,""right"":6951,""top"":2727,""bottom"":7362},""time"":1731552243198},{""box"":{""left"":2382,""right"":6951,""top"":2727,""bottom"":7362},""time"":1731552245025},{""box"":{""left"":2382,""right"":6951,""top"":2727,""bottom"":7362},""time"":1731552246061},{""box"":{""left"":2382,""right"":6951,""top"":2727,""bottom"":7362},""time"":1731552247068},{""box"":{""left"":2382,""right"":6951,""top"":2727,""bottom"":7362},""time"":1731552248005},{""box"":{""left"":2382,""right"":6951,""top"":2727,""bottom"":7362},""time"":1731552249002},{""box"":{""left"":2382,""right"":6951,""top"":2727,""bottom"":7362},""time"":1731552250000},{""box"":{""left"":2382,""right"":6951,""top"":2727,""bottom"":7362},""time"":1731552251006},{""box"":{""left"":2382,""right"":6951,""top"":2727,""bottom"":7362},""time"":1731552252005},{""box"":{""left"":2382,""right"":6951,""top"":2727,""bottom"":7362},""time"":1731552253012},{""box"":{""left"":2382,""right"":6951,""top"":2727,""bottom"":7362},""time"":1731552254010},{""box"":{""left"":2382,""right"":6951,""top"":2727,""bottom"":7362},""time"":1731552255016},{""box"":{""left"":2382,""right"":6951,""top"":2727,""bottom"":7362},""time"":1731552256025}",,,石川,580,は
486,LicensePlate,2024-11-14 11:44:16,2024-11-14 11:44:20,"{""box"":{""left"":2330,""right"":6727,""top"":2535,""bottom"":7026},""time"":1731552256594},{""box"":{""left"":2330,""right"":6727,""top"":2535,""bottom"":7026},""time"":1731552258031},{""box"":{""left"":2330,""right"":6727,""top"":2535,""bottom"":7026},""time"":1731552259059},{""box"":{""left"":2330,""right"":6727,""top"":2535,""bottom"":7026},""time"":1731552260065}",,,金沢,500,わ
488,LicensePlate,2024-11-14 11:44:23,2024-11-14 11:44:25,"{""box"":{""left"":5090,""right"":8120,""top"":5764,""bottom"":9418},""time"":1731552263706}",,,金沢,500,わ
489,LicensePlate,2024-11-14 11:45:22,2024-11-14 11:45:27,"{""box"":{""left"":2592,""right"":6474,""top"":2882,""bottom"":6781},""time"":1731552322361},{""box"":{""left"":2592,""right"":6474,""top"":2882,""bottom"":6781},""time"":1731552323000},{""box"":{""left"":2592,""right"":6474,""top"":2882,""bottom"":6781},""time"":1731552324000},{""box"":{""left"":2592,""right"":6474,""top"":2882,""bottom"":6781},""time"":1731552325006},{""box"":{""left"":2592,""right"":6474,""top"":2882,""bottom"":6781},""time"":1731552326004},{""box"":{""left"":2592,""right"":6474,""top"":2882,""bottom"":6781},""time"":1731552327011}",,,福井,501,せ
490,LicensePlate,2024-11-14 11:45:30,2024-11-14 11:45:31,"{""box"":{""left"":5608,""right"":7516,""top"":6247,""bottom"":8758},""time"":1731552330181},{""box"":{""left"":5608,""right"":7516,""top"":6247,""bottom"":8758},""time"":1731552331028}",,,福井,501,せ
492,LicensePlate,2024-11-14 11:46:56,2024-11-14 11:47:01,"{""box"":{""left"":2459,""right"":6633,""top"":2738,""bottom"":6973},""time"":1731552416511},{""box"":{""left"":2459,""right"":6633,""top"":2738,""bottom"":6973},""time"":1731552417008},{""box"":{""left"":2459,""right"":6633,""top"":2738,""bottom"":6973},""time"":1731552418014},{""box"":{""left"":2459,""right"":6633,""top"":2738,""bottom"":6973},""time"":1731552419021},{""box"":{""left"":2459,""right"":6633,""top"":2738,""bottom"":6973},""time"":1731552420019},{""box"":{""left"":2459,""right"":6633,""top"":2738,""bottom"":6973},""time"":1731552421028}",,,金沢,331,ゆ
493,LicensePlate,2024-11-14 11:47:03,2024-11-14 11:47:07,"{""box"":{""left"":6019,""right"":7530,""top"":6642,""bottom"":8861},""time"":1731552423297},{""box"":{""left"":6019,""right"":7530,""top"":6642,""bottom"":8861},""time"":1731552427002}",,,金沢,331,ゆ
