120,LicensePlate,2025-01-09 13:14:07,2025-01-09 13:14:13,"{""box"":{""left"":2539,""right"":6868,""top"":2848,""bottom"":7205},""time"":1736396047463}",,,福井,130,さ
122,LicensePlate,2025-01-09 13:15:31,2025-01-09 13:15:47,"{""box"":{""left"":2439,""right"":6820,""top"":2738,""bottom"":7185},""time"":1736396131989}",,,滋賀,5010,に
123,LicensePlate,2025-01-09 13:15:51,2025-01-09 13:15:53,"{""box"":{""left"":5468,""right"":8193,""top"":6199,""bottom"":9590},""time"":1736396151332}",,,滋賀,501,に
