271,LicensePlate,2024-12-03 12:18:36,2024-12-03 12:18:41,"{""box"":{""left"":4882,""right"":8014,""top"":5535,""bottom"":9102},""time"":1733195916429},{""box"":{""left"":4882,""right"":8014,""top"":5535,""bottom"":9102},""time"":1733195921001}",,,滋賀,535,た
272,LicensePlate,2024-12-03 12:20:20,2024-12-03 12:20:27,"{""box"":{""left"":2275,""right"":6751,""top"":2522,""bottom"":7023},""time"":1733196020331},{""box"":{""left"":2275,""right"":6751,""top"":2522,""bottom"":7023},""time"":1733196021001},{""box"":{""left"":2275,""right"":6751,""top"":2522,""bottom"":7023},""time"":1733196022009},{""box"":{""left"":2275,""right"":6751,""top"":2522,""bottom"":7023},""time"":1733196023006},{""box"":{""left"":2275,""right"":6751,""top"":2522,""bottom"":7023},""time"":1733196024013},{""box"":{""left"":2275,""right"":6751,""top"":2522,""bottom"":7023},""time"":1733196025009},{""box"":{""left"":2275,""right"":6751,""top"":2522,""bottom"":7023},""time"":1733196026008},{""box"":{""left"":2275,""right"":6751,""top"":2522,""bottom"":7023},""time"":1733196027014}",,,岐阜,303,ち
274,LicensePlate,2024-12-03 12:20:30,2024-12-03 12:20:32,"{""box"":{""left"":5538,""right"":8047,""top"":6216,""bottom"":9342},""time"":1733196030690},{""box"":{""left"":5538,""right"":8047,""top"":6216,""bottom"":9342},""time"":1733196032029}",,,岐阜,303,ち
279,LicensePlate,2024-12-03 12:22:12,2024-12-03 12:22:21,"{""box"":{""left"":2342,""right"":6795,""top"":2598,""bottom"":7127},""time"":1733196132595},{""box"":{""left"":2342,""right"":6795,""top"":2598,""bottom"":7127},""time"":1733196134028},{""box"":{""left"":2342,""right"":6795,""top"":2598,""bottom"":7127},""time"":1733196135065},{""box"":{""left"":2342,""right"":6795,""top"":2598,""bottom"":7127},""time"":1733196136031},{""box"":{""left"":2342,""right"":6795,""top"":2598,""bottom"":7127},""time"":1733196137000},{""box"":{""left"":2342,""right"":6795,""top"":2598,""bottom"":7127},""time"":1733196138069},{""box"":{""left"":2342,""right"":6795,""top"":2598,""bottom"":7127},""time"":1733196139007},{""box"":{""left"":2342,""right"":6795,""top"":2598,""bottom"":7127},""time"":1733196140004},{""box"":{""left"":2342,""right"":6795,""top"":2598,""bottom"":7127},""time"":1733196141011}",,,福井,500,わ
280,LicensePlate,2024-12-03 12:22:24,2024-12-03 12:22:27,"{""box"":{""left"":5425,""right"":7822,""top"":6052,""bottom"":9087},""time"":1733196144193},{""box"":{""left"":5425,""right"":7822,""top"":6052,""bottom"":9087},""time"":1733196147030}",,,福井,500,わ
