149,LicensePlate,2024-12-04 12:01:25,2024-12-04 12:01:41,"{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281285790},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281287006},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281288014},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281289011},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281290016},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281291014},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281292022},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281293019},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281294026},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281295023},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281296063},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281297000},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281298068},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281299004},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281300002},{""box"":{""left"":2075,""right"":6870,""top"":2301,""bottom"":7151},""time"":1733281301010}",,,京都,582,せ
151,LicensePlate,2024-12-04 12:02:55,2024-12-04 12:03:00,"{""box"":{""left"":2355,""right"":6610,""top"":2597,""bottom"":6911},""time"":1733281375279},{""box"":{""left"":2355,""right"":6610,""top"":2597,""bottom"":6911},""time"":1733281376008},{""box"":{""left"":2355,""right"":6610,""top"":2597,""bottom"":6911},""time"":1733281377015},{""box"":{""left"":2355,""right"":6610,""top"":2597,""bottom"":6911},""time"":1733281378014},{""box"":{""left"":2355,""right"":6610,""top"":2597,""bottom"":6911},""time"":1733281379052},{""box"":{""left"":2355,""right"":6610,""top"":2597,""bottom"":6911},""time"":1733281380018}",,,岐阜,338,も
152,LicensePlate,2024-12-04 12:03:03,2024-12-04 12:03:08,"{""box"":{""left"":5811,""right"":7512,""top"":6458,""bottom"":8882},""time"":1733281383561},{""box"":{""left"":5811,""right"":7512,""top"":6458,""bottom"":8882},""time"":1733281387002},{""box"":{""left"":5811,""right"":7512,""top"":6458,""bottom"":8882},""time"":1733281388012}",,,岐阜,338,も
153,Face,2024-12-04 12:03:09,2024-12-04 12:03:09,"{""box"":{""left"":4961,""right"":3613,""top"":5648,""bottom"":4746},""time"":1733281389791}","55,64",male,,,
154,Face,2024-12-04 12:03:09,2024-12-04 12:03:10,"{""box"":{""left"":6001,""right"":3201,""top"":6732,""bottom"":4407},""time"":1733281389982},{""box"":{""left"":6113,""right"":3126,""top"":6844,""bottom"":4332},""time"":1733281390022}","55,64",male,,,
