431,LicensePlate,2024-11-29 14:46:27,2024-11-29 14:46:36,"{""box"":{""left"":2804,""right"":6527,""top"":3063,""bottom"":6910},""time"":1732859187801},{""box"":{""left"":2804,""right"":6527,""top"":3063,""bottom"":6910},""time"":1732859188033},{""box"":{""left"":2804,""right"":6527,""top"":3063,""bottom"":6910},""time"":1732859189000},{""box"":{""left"":2804,""right"":6527,""top"":3063,""bottom"":6910},""time"":1732859190008},{""box"":{""left"":2804,""right"":6527,""top"":3063,""bottom"":6910},""time"":1732859191004},{""box"":{""left"":2804,""right"":6527,""top"":3063,""bottom"":6910},""time"":1732859192014},{""box"":{""left"":2804,""right"":6527,""top"":3063,""bottom"":6910},""time"":1732859193040},{""box"":{""left"":2804,""right"":6527,""top"":3063,""bottom"":6910},""time"":1732859194047},{""box"":{""left"":2804,""right"":6527,""top"":3063,""bottom"":6910},""time"":1732859195044},{""box"":{""left"":2804,""right"":6527,""top"":3063,""bottom"":6910},""time"":1732859196013}",,,岐阜,503,さ
433,LicensePlate,2024-11-29 14:48:12,2024-11-29 14:48:19,"{""box"":{""left"":2744,""right"":6666,""top"":3079,""bottom"":7128},""time"":1732859292945},{""box"":{""left"":2744,""right"":6666,""top"":3079,""bottom"":7128},""time"":1732859297052},{""box"":{""left"":2744,""right"":6666,""top"":3079,""bottom"":7128},""time"":1732859298011},{""box"":{""left"":2744,""right"":6666,""top"":3079,""bottom"":7128},""time"":1732859299018}",,,和歌山,320,て
434,LicensePlate,2024-11-29 14:48:21,2024-11-29 14:48:25,"{""box"":{""left"":6297,""right"":7618,""top"":6896,""bottom"":8997},""time"":1732859301125},{""box"":{""left"":6297,""right"":7618,""top"":6896,""bottom"":8997},""time"":1732859303560},{""box"":{""left"":6297,""right"":7618,""top"":6896,""bottom"":8997},""time"":1732859305026}",,,和歌山,540,て
