378,LicensePlate,2024-11-23 11:04:07,2024-11-23 11:04:08,"{""box"":{""left"":2734,""right"":6618,""top"":2994,""bottom"":6957},""time"":1732327447145},{""box"":{""left"":2734,""right"":6618,""top"":2994,""bottom"":6957},""time"":1732327448024}",,,福井,200,う
381,LicensePlate,2024-11-23 11:06:55,2024-11-23 11:06:58,"{""box"":{""left"":3250,""right"":6388,""top"":3691,""bottom"":6854},""time"":1732327615565},{""box"":{""left"":3250,""right"":6388,""top"":3691,""bottom"":6854},""time"":1732327616062},{""box"":{""left"":3250,""right"":6388,""top"":3691,""bottom"":6854},""time"":1732327617004},{""box"":{""left"":3250,""right"":6388,""top"":3691,""bottom"":6854},""time"":1732327618003}",,,岡崎,200,か
383,LicensePlate,2024-11-23 11:07:01,2024-11-23 11:07:01,"{""box"":{""left"":5159,""right"":6461,""top"":5673,""bottom"":7473},""time"":1732327621849}",,,岡崎,200,か
384,LicensePlate,2024-11-23 11:07:12,2024-11-23 11:07:13,"{""box"":{""left"":5195,""right"":6485,""top"":5734,""bottom"":7410},""time"":1732327632217},{""box"":{""left"":5195,""right"":6485,""top"":5734,""bottom"":7410},""time"":1732327633007}",,,岡崎,200,か
