138,LicensePlate,2024-12-23 15:11:28,2024-12-23 15:11:39,"{""box"":{""left"":2320,""right"":6648,""top"":2582,""bottom"":6909},""time"":1734934288841}",,,富山,302,な
139,Face,2024-12-23 15:11:39,2024-12-23 15:11:39,"{""box"":{""left"":4538,""right"":4886,""top"":5007,""bottom"":5660},""time"":1734934299743}","6,12",male,,,
141,LicensePlate,2024-12-23 15:12:41,2024-12-23 15:12:43,"{""box"":{""left"":2428,""right"":6930,""top"":2703,""bottom"":7271},""time"":1734934361702}",,,福井,541,る
142,LicensePlate,2024-12-23 15:12:48,2024-12-23 15:12:50,"{""box"":{""left"":5102,""right"":7990,""top"":5751,""bottom"":9228},""time"":1734934368685}",,,福井,541,る
