177,LicensePlate,2024-12-10 12:18:28,2024-12-10 12:18:41,"{""box"":{""left"":2728,""right"":6909,""top"":3018,""bottom"":7272},""time"":1733800708726},{""box"":{""left"":2728,""right"":6909,""top"":3018,""bottom"":7272},""time"":1733800711021},{""box"":{""left"":2728,""right"":6909,""top"":3018,""bottom"":7272},""time"":1733800712019},{""box"":{""left"":2728,""right"":6909,""top"":3018,""bottom"":7272},""time"":1733800713020},{""box"":{""left"":2728,""right"":6909,""top"":3018,""bottom"":7272},""time"":1733800714027},{""box"":{""left"":2728,""right"":6909,""top"":3018,""bottom"":7272},""time"":1733800715026},{""box"":{""left"":2728,""right"":6909,""top"":3018,""bottom"":7272},""time"":1733800716035},{""box"":{""left"":2728,""right"":6909,""top"":3018,""bottom"":7272},""time"":1733800717001},{""box"":{""left"":2728,""right"":6909,""top"":3018,""bottom"":7272},""time"":1733800718002},{""box"":{""left"":2728,""right"":6909,""top"":3018,""bottom"":7272},""time"":1733800719041},{""box"":{""left"":2728,""right"":6909,""top"":3018,""bottom"":7272},""time"":1733800720053},{""box"":{""left"":2728,""right"":6909,""top"":3018,""bottom"":7272},""time"":1733800721047}",,,金沢,332,ち
178,Face,2024-12-10 12:18:37,2024-12-10 12:18:41,"{""box"":{""left"":2066,""right"":6035,""top"":4066,""bottom"":8448},""time"":1733800717424},{""box"":{""left"":2249,""right"":6024,""top"":4378,""bottom"":8758},""time"":1733800718778},{""box"":{""left"":2642,""right"":6144,""top"":5569,""bottom"":10000},""time"":1733800721149}","55,64",male,,,
179,LicensePlate,2024-12-10 12:18:45,2024-12-10 12:18:49,"{""box"":{""left"":5475,""right"":8036,""top"":6130,""bottom"":9385},""time"":1733800725125},{""box"":{""left"":5475,""right"":8036,""top"":6130,""bottom"":9385},""time"":1733800728004},{""box"":{""left"":5475,""right"":8036,""top"":6130,""bottom"":9385},""time"":1733800729003}",,,2,21,0
180,Face,2024-12-10 12:18:45,2024-12-10 12:18:48,"{""box"":{""left"":2903,""right"":6238,""top"":5830,""bottom"":9996},""time"":1733800725595},{""box"":{""left"":2893,""right"":6195,""top"":5820,""bottom"":9724},""time"":1733800728170}","35,44",male,,,
