placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2026-06-28 00:00:00,2026-06-28 01:00:00,1
fukui-station-east-entrance,Person,2026-06-28 01:00:00,2026-06-28 02:00:00,2
fukui-station-east-entrance,Person,2026-06-28 02:00:00,2026-06-28 03:00:00,0
fukui-station-east-entrance,Person,2026-06-28 03:00:00,2026-06-28 04:00:00,2
fukui-station-east-entrance,Person,2026-06-28 04:00:00,2026-06-28 05:00:00,8
fukui-station-east-entrance,Person,2026-06-28 05:00:00,2026-06-28 06:00:00,10
fukui-station-east-entrance,Person,2026-06-28 06:00:00,2026-06-28 07:00:00,172
fukui-station-east-entrance,Person,2026-06-28 07:00:00,2026-06-28 08:00:00,218
fukui-station-east-entrance,Person,2026-06-28 08:00:00,2026-06-28 09:00:00,522
fukui-station-east-entrance,Person,2026-06-28 09:00:00,2026-06-28 10:00:00,1042
fukui-station-east-entrance,Person,2026-06-28 10:00:00,2026-06-28 11:00:00,922
fukui-station-east-entrance,Person,2026-06-28 11:00:00,2026-06-28 12:00:00,938
fukui-station-east-entrance,Person,2026-06-28 12:00:00,2026-06-28 13:00:00,1089
fukui-station-east-entrance,Person,2026-06-28 13:00:00,2026-06-28 14:00:00,1043
fukui-station-east-entrance,Person,2026-06-28 14:00:00,2026-06-28 15:00:00,1344
fukui-station-east-entrance,Person,2026-06-28 15:00:00,2026-06-28 16:00:00,1136
fukui-station-east-entrance,Person,2026-06-28 16:00:00,2026-06-28 17:00:00,1148
fukui-station-east-entrance,Person,2026-06-28 17:00:00,2026-06-28 18:00:00,1212
fukui-station-east-entrance,Person,2026-06-28 18:00:00,2026-06-28 19:00:00,1005
fukui-station-east-entrance,Person,2026-06-28 19:00:00,2026-06-28 20:00:00,343
fukui-station-east-entrance,Person,2026-06-28 20:00:00,2026-06-28 21:00:00,247
fukui-station-east-entrance,Person,2026-06-28 21:00:00,2026-06-28 22:00:00,170
fukui-station-east-entrance,Person,2026-06-28 22:00:00,2026-06-28 23:00:00,62
fukui-station-east-entrance,Person,2026-06-28 23:00:00,2026-06-29 00:00:00,0
