152,LicensePlate,2025-01-04 12:01:03,2025-01-04 12:01:16,"{""box"":{""left"":2309,""right"":6831,""top"":2602,""bottom"":7150},""time"":1735959663566}",,,福井,580,や
153,LicensePlate,2025-01-04 12:02:16,2025-01-04 12:02:22,"{""box"":{""left"":2242,""right"":6671,""top"":2468,""bottom"":6969},""time"":1735959736811}",,,尾張小牧,302,ほ
154,LicensePlate,2025-01-04 12:02:28,2025-01-04 12:02:32,"{""box"":{""left"":5596,""right"":7862,""top"":6192,""bottom"":9034},""time"":1735959748072}",,,尾張小牧,302,ほ
155,Face,2025-01-04 12:02:33,2025-01-04 12:02:33,"{""box"":{""left"":6915,""right"":2246,""top"":7694,""bottom"":3613},""time"":1735959753399}","0,5",male,,,
