106,LicensePlate,2025-01-04 10:44:18,2025-01-04 10:45:00,"{""box"":{""left"":2672,""right"":6464,""top"":2926,""bottom"":6877},""time"":1735955058477}",,,相模,230,え
108,Face,2025-01-04 10:44:23,2025-01-04 10:44:23,"{""box"":{""left"":1539,""right"":4319,""top"":1882,""bottom"":4800},""time"":1735955063013}","55,64",male,,,
109,LicensePlate,2025-01-04 10:44:32,2025-01-04 10:44:32,"{""box"":{""left"":4848,""right"":5174,""top"":5781,""bottom"":5999},""time"":1735955072523}",,,4,1,7
