147,LicensePlate,2025-01-04 11:48:56,2025-01-04 11:49:12,"{""box"":{""left"":2574,""right"":6835,""top"":2885,""bottom"":7205},""time"":1735958936379},{""box"":{""left"":4186,""right"":7677,""top"":4735,""bottom"":8523},""time"":1735958941085}",,,高崎,530,せ
149,LicensePlate,2025-01-04 11:51:26,2025-01-04 11:51:30,"{""box"":{""left"":2308,""right"":6824,""top"":2597,""bottom"":7205},""time"":1735959086424},{""box"":{""left"":3660,""right"":7402,""top"":4163,""bottom"":8086},""time"":1735959089026}",,,姫路,352,ひ
150,LicensePlate,2025-01-04 11:51:34,2025-01-04 11:51:35,"{""box"":{""left"":5776,""right"":7959,""top"":6390,""bottom"":9232},""time"":1735959094047}",,,姫路,352,ひ
