141,LicensePlate,2025-01-04 11:45:16,2025-01-04 11:45:51,"{""box"":{""left"":2650,""right"":6746,""top"":2961,""bottom"":7114},""time"":1735958716760}",,,福井,581,う
144,LicensePlate,2025-01-04 11:46:52,2025-01-04 11:47:00,"{""box"":{""left"":2301,""right"":6712,""top"":2587,""bottom"":7027},""time"":1735958812381}",,,神戸,582,ゆ
145,LicensePlate,2025-01-04 11:47:02,2025-01-04 11:47:04,"{""box"":{""left"":5414,""right"":7830,""top"":6109,""bottom"":9200},""time"":1735958822934}",,,神戸,582,ゆ
