115,LicensePlate,2025-01-04 11:13:51,2025-01-04 11:14:12,"{""box"":{""left"":2379,""right"":6539,""top"":2674,""bottom"":6918},""time"":1735956831044}",,,大阪,301,わ
116,Face,2025-01-04 11:14:13,2025-01-04 11:14:13,"{""box"":{""left"":5023,""right"":3459,""top"":5710,""bottom"":4524},""time"":1735956853189}","13,17",male,,,
117,LicensePlate,2025-01-04 11:14:44,2025-01-04 11:14:48,"{""box"":{""left"":2450,""right"":6751,""top"":2698,""bottom"":7063},""time"":1735956884728}",,,神戸,303,ま
118,LicensePlate,2025-01-04 11:14:52,2025-01-04 11:14:54,"{""box"":{""left"":5519,""right"":7579,""top"":6109,""bottom"":8765},""time"":1735956892210},{""box"":{""left"":5519,""right"":7585,""top"":6109,""bottom"":8759},""time"":1735956894245}",,,神戸,303,ま
