226,LicensePlate,2024-12-16 13:29:21,2024-12-16 13:29:21,"{""box"":{""left"":3365,""right"":6700,""top"":3781,""bottom"":7209},""time"":1734323361105}",,,福井,100,あ
228,LicensePlate,2024-12-16 13:32:52,2024-12-16 13:32:58,"{""box"":{""left"":2184,""right"":6512,""top"":2464,""bottom"":6815},""time"":1734323572427},{""box"":{""left"":2184,""right"":6512,""top"":2464,""bottom"":6815},""time"":1734323574029},{""box"":{""left"":2184,""right"":6512,""top"":2464,""bottom"":6815},""time"":1734323575007},{""box"":{""left"":2184,""right"":6512,""top"":2464,""bottom"":6815},""time"":1734323576007},{""box"":{""left"":2184,""right"":6512,""top"":2464,""bottom"":6815},""time"":1734323577004},{""box"":{""left"":2184,""right"":6512,""top"":2464,""bottom"":6815},""time"":1734323578011}",,,岐阜,302,や
229,LicensePlate,2024-12-16 13:33:02,2024-12-16 13:33:04,"{""box"":{""left"":6250,""right"":7185,""top"":6789,""bottom"":8478},""time"":1734323582750}",,,岐阜,302,や
