25350,Person,2025-01-01 16:38:33,2025-01-01 16:38:41,"{""box"":{""left"":5723,""right"":1235,""top"":5992,""bottom"":2902},""time"":1735717113795}",,,,,
25351,Person,2025-01-01 16:38:54,2025-01-01 16:38:56,"{""box"":{""left"":3574,""right"":177,""top"":3687,""bottom"":729},""time"":1735717134517}",,,,,
25352,Person,2025-01-01 16:38:56,2025-01-01 16:38:56,"{""box"":{""left"":3318,""right"":218,""top"":3449,""bottom"":791},""time"":1735717136723}",,,,,
25353,Person,2025-01-01 16:39:36,2025-01-01 16:39:44,"{""box"":{""left"":3368,""right"":281,""top"":3493,""bottom"":802},""time"":1735717176544}",,,,,
25354,Person,2025-01-01 16:39:38,2025-01-01 16:39:40,"{""box"":{""left"":4137,""right"":270,""top"":4281,""bottom"":936},""time"":1735717178234}",,,,,
25355,Person,2025-01-01 16:39:49,2025-01-01 16:40:24,"{""box"":{""left"":3525,""right"":229,""top"":3643,""bottom"":697},""time"":1735717189102}",,,,,
25356,Person,2025-01-01 16:39:52,2025-01-01 16:40:20,"{""box"":{""left"":3800,""right"":281,""top"":3918,""bottom"":750},""time"":1735717192042}",,,,,
25357,Person,2025-01-01 16:39:53,2025-01-01 16:39:56,"{""box"":{""left"":4150,""right"":312,""top"":4325,""bottom"":1000},""time"":1735717193511}",,,,,
25358,Person,2025-01-01 16:39:52,2025-01-01 16:40:05,"{""box"":{""left"":3705,""right"":250,""top"":3811,""bottom"":770},""time"":1735717192940}",,,,,
25359,Person,2025-01-01 16:39:59,2025-01-01 16:40:03,"{""box"":{""left"":3687,""right"":308,""top"":3818,""bottom"":1025},""time"":1735717199171}",,,,,
25360,Person,2025-01-01 16:40:02,2025-01-01 16:40:02,"{""box"":{""left"":4225,""right"":343,""top"":4362,""bottom"":1031},""time"":1735717202860}",,,,,
25361,Person,2025-01-01 16:40:04,2025-01-01 16:40:11,"{""box"":{""left"":4062,""right"":552,""top"":4230,""bottom"":1333},""time"":1735717204067}",,,,,
25362,Person,2025-01-01 16:40:09,2025-01-01 16:40:13,"{""box"":{""left"":4393,""right"":656,""top"":4561,""bottom"":1708},""time"":1735717209335}",,,,,
25363,Person,2025-01-01 16:40:11,2025-01-01 16:40:17,"{""box"":{""left"":4000,""right"":312,""top"":4168,""bottom"":916},""time"":1735717211817}",,,,,
25364,Person,2025-01-01 16:40:12,2025-01-01 16:40:16,"{""box"":{""left"":4993,""right"":1171,""top"":5231,""bottom"":2652},""time"":1735717212969}",,,,,
25365,Person,2025-01-01 16:40:15,2025-01-01 16:40:25,"{""box"":{""left"":4975,""right"":937,""top"":5450,""bottom"":2728},""time"":1735717215575}",,,,,
25366,Person,2025-01-01 16:40:17,2025-01-01 16:40:26,"{""box"":{""left"":6437,""right"":1864,""top"":6856,""bottom"":3854},""time"":1735717217806}",,,,,
25367,Person,2025-01-01 16:40:21,2025-01-01 16:40:26,"{""box"":{""left"":6295,""right"":2039,""top"":6833,""bottom"":3070},""time"":1735717221701}",,,,,
25368,Person,2025-01-01 16:40:22,2025-01-01 16:40:59,"{""box"":{""left"":3443,""right"":239,""top"":3587,""bottom"":708},""time"":1735717222711}",,,,,
25369,Person,2025-01-01 16:40:31,2025-01-01 16:40:34,"{""box"":{""left"":3574,""right"":302,""top"":3712,""bottom"":1052},""time"":1735717231410}",,,,,
25370,Person,2025-01-01 16:40:34,2025-01-01 16:40:34,"{""box"":{""left"":3368,""right"":250,""top"":3518,""bottom"":843},""time"":1735717234876}",,,,,
25371,Person,2025-01-01 16:40:36,2025-01-01 16:40:46,"{""box"":{""left"":3787,""right"":760,""top"":3943,""bottom"":1614},""time"":1735717236066}",,,,,
25372,Person,2025-01-01 16:40:38,2025-01-01 16:40:56,"{""box"":{""left"":3725,""right"":406,""top"":3874,""bottom"":885},""time"":1735717238398}",,,,,
25373,Person,2025-01-01 16:40:46,2025-01-01 16:40:48,"{""box"":{""left"":3906,""right"":281,""top"":4112,""bottom"":937},""time"":1735717246602}",,,,,
25374,Person,2025-01-01 16:40:48,2025-01-01 16:40:50,"{""box"":{""left"":4356,""right"":333,""top"":4499,""bottom"":979},""time"":1735717248541}",,,,,
25375,Person,2025-01-01 16:40:54,2025-01-01 16:40:59,"{""box"":{""left"":4125,""right"":281,""top"":4256,""bottom"":916},""time"":1735717254495}",,,,,
25376,Person,2025-01-01 16:41:00,2025-01-01 16:41:43,"{""box"":{""left"":4162,""right"":260,""top"":4318,""bottom"":979},""time"":1735717260290}",,,,,
25377,Person,2025-01-01 16:41:04,2025-01-01 16:41:44,"{""box"":{""left"":3462,""right"":250,""top"":3581,""bottom"":739},""time"":1735717264761}",,,,,
25378,Person,2025-01-01 16:41:05,2025-01-01 16:41:11,"{""box"":{""left"":3781,""right"":239,""top"":3887,""bottom"":750},""time"":1735717265891}",,,,,
25379,Person,2025-01-01 16:41:06,2025-01-01 16:41:06,"{""box"":{""left"":3368,""right"":244,""top"":3474,""bottom"":796},""time"":1735717266114}",,,,,
25380,Person,2025-01-01 16:41:07,2025-01-01 16:41:28,"{""box"":{""left"":3718,""right"":250,""top"":3824,""bottom"":802},""time"":1735717267358}",,,,,
25383,Person,2025-01-01 16:41:15,2025-01-01 16:41:50,"{""box"":{""left"":3956,""right"":281,""top"":4067,""bottom"":927},""time"":1735717275590}",,,,,
25384,Person,2025-01-01 16:41:22,2025-01-01 16:41:24,"{""box"":{""left"":3912,""right"":265,""top"":4050,""bottom"":838},""time"":1735717282184}",,,,,
25385,Person,2025-01-01 16:41:27,2025-01-01 16:41:30,"{""box"":{""left"":3931,""right"":260,""top"":4068,""bottom"":802},""time"":1735717287713}",,,,,
25386,Person,2025-01-01 16:41:30,2025-01-01 16:41:50,"{""box"":{""left"":5187,""right"":791,""top"":5387,""bottom"":2093},""time"":1735717290331}",,,,,
25387,Person,2025-01-01 16:41:31,2025-01-01 16:41:32,"{""box"":{""left"":4043,""right"":229,""top"":4187,""bottom"":875},""time"":1735717291523}",,,,,
25388,Person,2025-01-01 16:41:37,2025-01-01 16:41:53,"{""box"":{""left"":3462,""right"":239,""top"":3573,""bottom"":739},""time"":1735717297968}",,,,,
25389,Person,2025-01-01 16:41:39,2025-01-01 16:41:53,"{""box"":{""left"":3800,""right"":229,""top"":3943,""bottom"":895},""time"":1735717299282}",,,,,
25390,Person,2025-01-01 16:41:42,2025-01-01 16:41:53,"{""box"":{""left"":3742,""right"":357,""top"":3855,""bottom"":951},""time"":1735717302450}",,,,,
25392,Person,2025-01-01 16:41:42,2025-01-01 16:41:45,"{""box"":{""left"":3994,""right"":226,""top"":4101,""bottom"":783},""time"":1735717302728}",,,,,
25393,Person,2025-01-01 16:41:50,2025-01-01 16:41:50,"{""box"":{""left"":7433,""right"":5652,""top"":9353,""bottom"":9948},""time"":1735717310971}",,,,,
