380,LicensePlate,2024-11-10 10:10:25,2024-11-10 10:10:26,"{""box"":{""left"":2832,""right"":6605,""top"":3057,""bottom"":6971},""time"":1731201025390},{""box"":{""left"":2832,""right"":6605,""top"":3057,""bottom"":6971},""time"":1731201026020}",,,福井,200,さ
382,LicensePlate,2024-11-10 10:10:56,2024-11-10 10:11:01,"{""box"":{""left"":2549,""right"":6745,""top"":2794,""bottom"":7145},""time"":1731201056726},{""box"":{""left"":2549,""right"":6745,""top"":2794,""bottom"":7145},""time"":1731201058028},{""box"":{""left"":2549,""right"":6745,""top"":2794,""bottom"":7145},""time"":1731201059066},{""box"":{""left"":2549,""right"":6745,""top"":2794,""bottom"":7145},""time"":1731201060003},{""box"":{""left"":2549,""right"":6745,""top"":2794,""bottom"":7145},""time"":1731201061002}",,,石川,501,の
383,LicensePlate,2024-11-10 10:11:05,2024-11-10 10:11:08,"{""box"":{""left"":5779,""right"":7895,""top"":6390,""bottom"":9190},""time"":1731201065410},{""box"":{""left"":5779,""right"":7895,""top"":6390,""bottom"":9190},""time"":1731201068025}",,,石川,501,の
