1532,LicensePlate,2024-11-16 15:55:09,2024-11-16 15:55:15,"{""box"":{""left"":2829,""right"":6750,""top"":3097,""bottom"":7076},""time"":1731740109763},{""box"":{""left"":2829,""right"":6750,""top"":3097,""bottom"":7076},""time"":1731740110021},{""box"":{""left"":2829,""right"":6750,""top"":3097,""bottom"":7076},""time"":1731740111017},{""box"":{""left"":2829,""right"":6750,""top"":3097,""bottom"":7076},""time"":1731740112027},{""box"":{""left"":2829,""right"":6750,""top"":3097,""bottom"":7076},""time"":1731740113025},{""box"":{""left"":2829,""right"":6750,""top"":3097,""bottom"":7076},""time"":1731740114002},{""box"":{""left"":2829,""right"":6750,""top"":3097,""bottom"":7076},""time"":1731740115040}",,,島根,330,も
1533,Face,2024-11-16 15:55:18,2024-11-16 15:55:21,"{""box"":{""left"":2203,""right"":4851,""top"":2593,""bottom"":5320},""time"":1731740118678}","45,54",male,,,
1534,Face,2024-11-16 15:55:25,2024-11-16 15:55:27,"{""box"":{""left"":3882,""right"":4177,""top"":4226,""bottom"":4619},""time"":1731740125156}","65,",male,,,
1535,Face,2024-11-16 15:55:38,2024-11-16 15:55:41,"{""box"":{""left"":3914,""right"":4177,""top"":4257,""bottom"":4619},""time"":1731740138227},{""box"":{""left"":3856,""right"":4275,""top"":4183,""bottom"":4596},""time"":1731740140424}","65,",male,,,
1536,Face,2024-11-16 15:55:43,2024-11-16 15:55:44,"{""box"":{""left"":4259,""right"":4177,""top"":4625,""bottom"":4619},""time"":1731740143471}","45,54",male,,,
1538,LicensePlate,2024-11-16 15:57:21,2024-11-16 15:57:23,"{""box"":{""left"":3532,""right"":6638,""top"":3910,""bottom"":7122},""time"":1731740241781},{""box"":{""left"":3532,""right"":6638,""top"":3910,""bottom"":7122},""time"":1731740242013},{""box"":{""left"":3532,""right"":6638,""top"":3910,""bottom"":7122},""time"":1731740243021}",,,三河,308,ゆ
1539,LicensePlate,2024-11-16 15:57:26,2024-11-16 15:57:28,"{""box"":{""left"":6613,""right"":6670,""top"":7055,""bottom"":7796},""time"":1731740246662},{""box"":{""left"":6613,""right"":6670,""top"":7055,""bottom"":7796},""time"":1731740248034}",,,三河,336,ゆ
1540,Face,2024-11-16 15:57:29,2024-11-16 15:57:32,"{""box"":{""left"":1891,""right"":5007,""top"":2280,""bottom"":5476},""time"":1731740249402}","35,44",male,,,
1541,Face,2024-11-16 15:57:29,2024-11-16 15:57:29,"{""box"":{""left"":5860,""right"":4017,""top"":6260,""bottom"":4627},""time"":1731740249678}","25,34",male,,,
1542,Face,2024-11-16 15:57:29,2024-11-16 15:57:29,"{""box"":{""left"":7052,""right"":3587,""top"":7494,""bottom"":4271},""time"":1731740249811}","25,34",male,,,
1543,Face,2024-11-16 15:57:35,2024-11-16 15:57:36,"{""box"":{""left"":2120,""right"":4882,""top"":2500,""bottom"":5351},""time"":1731740255417}","55,64",female,,,
1544,Face,2024-11-16 15:57:38,2024-11-16 15:57:40,"{""box"":{""left"":3110,""right"":4507,""top"":3449,""bottom"":4976},""time"":1731740258189},{""box"":{""left"":3540,""right"":4333,""top"":3879,""bottom"":4764},""time"":1731740259031}","6,12",male,,,
1545,Face,2024-11-16 15:58:17,2024-11-16 15:58:34,"{""box"":{""left"":3819,""right"":3889,""top"":4288,""bottom"":4531},""time"":1731740297640},{""box"":{""left"":3044,""right"":3991,""top"":3698,""bottom"":4866},""time"":1731740298047},{""box"":{""left"":451,""right"":4058,""top"":909,""bottom"":4792},""time"":1731740302170},{""box"":{""left"":599,""right"":3862,""top"":1050,""bottom"":4580},""time"":1731740303966},{""box"":{""left"":546,""right"":3832,""top"":1307,""bottom"":4934},""time"":1731740306003},{""box"":{""left"":541,""right"":4145,""top"":1321,""bottom"":5145},""time"":1731740310281}","35,44",male,,,
1547,Face,2024-11-16 15:58:29,2024-11-16 15:58:29,"{""box"":{""left"":959,""right"":6440,""top"":1400,""bottom"":7043},""time"":1731740309318}","18,24",male,,,
1548,Face,2024-11-16 15:58:41,2024-11-16 15:58:50,"{""box"":{""left"":566,""right"":6827,""top"":980,""bottom"":7469},""time"":1731740321772}","45,54",male,,,
