1626,LicensePlate,2024-11-16 16:24:47,2024-11-16 16:24:49,"{""box"":{""left"":3231,""right"":6684,""top"":3550,""bottom"":7089},""time"":1731741887450},{""box"":{""left"":3231,""right"":6684,""top"":3550,""bottom"":7089},""time"":1731741888083},{""box"":{""left"":3231,""right"":6684,""top"":3550,""bottom"":7089},""time"":1731741889020}",,,福岡,300,さ
1628,LicensePlate,2024-11-16 16:27:16,2024-11-16 16:27:16,"{""box"":{""left"":5624,""right"":7214,""top"":6224,""bottom"":8369},""time"":1731742036736}",,,四日市,314,そ
1629,LicensePlate,2024-11-16 16:27:21,2024-11-16 16:27:22,"{""box"":{""left"":6208,""right"":7172,""top"":6735,""bottom"":8468},""time"":1731742041074}",,,四日市,314,そ
1630,Face,2024-11-16 16:27:48,2024-11-16 16:27:53,"{""box"":{""left"":396,""right"":4970,""top"":786,""bottom"":5451},""time"":1731742068497},{""box"":{""left"":405,""right"":4741,""top"":795,""bottom"":5218},""time"":1731742069273},{""box"":{""left"":978,""right"":3687,""top"":1510,""bottom"":4371},""time"":1731742071009},{""box"":{""left"":965,""right"":3667,""top"":1519,""bottom"":4606},""time"":1731742073146}","65,",male,,,
