42,LicensePlate,2024-12-06 09:45:25,2024-12-06 09:45:28,"{""box"":{""left"":2502,""right"":6847,""top"":2789,""bottom"":7224},""time"":1733445925976},{""box"":{""left"":2502,""right"":6847,""top"":2789,""bottom"":7224},""time"":1733445927007},{""box"":{""left"":2502,""right"":6847,""top"":2789,""bottom"":7224},""time"":1733445928004}",,,福岡,480,せ
43,LicensePlate,2024-12-06 09:47:32,2024-12-06 09:47:34,"{""box"":{""left"":2469,""right"":6795,""top"":2749,""bottom"":7175},""time"":1733446052116},{""box"":{""left"":2469,""right"":6795,""top"":2749,""bottom"":7175},""time"":1733446053021},{""box"":{""left"":2469,""right"":6795,""top"":2749,""bottom"":7175},""time"":1733446054018}",,,姫路,312,り
44,LicensePlate,2024-12-06 09:47:37,2024-12-06 09:47:40,"{""box"":{""left"":5713,""right"":7666,""top"":6269,""bottom"":8800},""time"":1733446057897}",,,姫路,312,り
45,Face,2024-12-06 09:47:41,2024-12-06 09:47:41,"{""box"":{""left"":4066,""right"":4021,""top"":4480,""bottom"":4587},""time"":1733446061304}","6,12",male,,,
