28,LicensePlate,2024-12-01 08:04:18,2024-12-01 08:04:34,"{""box"":{""left"":2163,""right"":6921,""top"":2370,""bottom"":7250},""time"":1733007858220},{""box"":{""left"":2163,""right"":6921,""top"":2370,""bottom"":7250},""time"":1733007862057},{""box"":{""left"":2163,""right"":6921,""top"":2370,""bottom"":7250},""time"":1733007864033},{""box"":{""left"":2163,""right"":6921,""top"":2370,""bottom"":7250},""time"":1733007865029},{""box"":{""left"":2163,""right"":6921,""top"":2370,""bottom"":7250},""time"":1733007866026},{""box"":{""left"":2163,""right"":6921,""top"":2370,""bottom"":7250},""time"":1733007867033},{""box"":{""left"":2163,""right"":6921,""top"":2370,""bottom"":7250},""time"":1733007868000},{""box"":{""left"":2163,""right"":6921,""top"":2370,""bottom"":7250},""time"":1733007869006},{""box"":{""left"":2163,""right"":6921,""top"":2370,""bottom"":7250},""time"":1733007870002},{""box"":{""left"":2163,""right"":6921,""top"":2370,""bottom"":7250},""time"":1733007871009},{""box"":{""left"":2163,""right"":6921,""top"":2370,""bottom"":7250},""time"":1733007872017},{""box"":{""left"":2163,""right"":6921,""top"":2370,""bottom"":7250},""time"":1733007873014},{""box"":{""left"":2163,""right"":6921,""top"":2370,""bottom"":7250},""time"":1733007874021}",,,福井,583,て
29,LicensePlate,2024-12-01 08:05:47,2024-12-01 08:05:51,"{""box"":{""left"":2195,""right"":6899,""top"":2416,""bottom"":7197},""time"":1733007947115},{""box"":{""left"":2195,""right"":6899,""top"":2416,""bottom"":7197},""time"":1733007949016},{""box"":{""left"":2195,""right"":6899,""top"":2416,""bottom"":7197},""time"":1733007950023},{""box"":{""left"":2195,""right"":6899,""top"":2416,""bottom"":7197},""time"":1733007951022}",,,尾張小牧,580,ゆ
30,LicensePlate,2024-12-01 08:06:03,2024-12-01 08:06:09,"{""box"":{""left"":4717,""right"":8366,""top"":5322,""bottom"":9447},""time"":1733007963118},{""box"":{""left"":4717,""right"":8366,""top"":5322,""bottom"":9447},""time"":1733007964023},{""box"":{""left"":4717,""right"":8366,""top"":5322,""bottom"":9447},""time"":1733007965019},{""box"":{""left"":4717,""right"":8366,""top"":5322,""bottom"":9447},""time"":1733007966026},{""box"":{""left"":4717,""right"":8366,""top"":5322,""bottom"":9447},""time"":1733007967023},{""box"":{""left"":4717,""right"":8366,""top"":5322,""bottom"":9447},""time"":1733007968031},{""box"":{""left"":4717,""right"":8366,""top"":5322,""bottom"":9447},""time"":1733007969028}",,,尾張小牧,580,ゆ
