1306,LicensePlate,2024-12-01 14:23:14,2024-12-01 14:23:31,"{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030594826},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030596027},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030597094},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030598060},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030599067},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030600003},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030601001},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030602006},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030603004},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030604011},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030605016},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030606013},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030607021},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030608018},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030609027},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030610026},{""box"":{""left"":2579,""right"":6694,""top"":2886,""bottom"":7049},""time"":1733030611062}",,,京都,56,は
1307,LicensePlate,2024-12-01 14:23:33,2024-12-01 14:23:37,"{""box"":{""left"":2240,""right"":6657,""top"":2481,""bottom"":6921},""time"":1733030613399},{""box"":{""left"":2240,""right"":6657,""top"":2481,""bottom"":6921},""time"":1733030615001},{""box"":{""left"":2240,""right"":6657,""top"":2481,""bottom"":6921},""time"":1733030616138},{""box"":{""left"":2240,""right"":6657,""top"":2481,""bottom"":6921},""time"":1733030617003}",,,名古屋,307,み
1308,LicensePlate,2024-12-01 14:23:40,2024-12-01 14:23:43,"{""box"":{""left"":5687,""right"":7791,""top"":6329,""bottom"":9115},""time"":1733030620814},{""box"":{""left"":5687,""right"":7791,""top"":6329,""bottom"":9115},""time"":1733030623052}",,,名古屋,307,み
1309,Face,2024-12-01 14:23:44,2024-12-01 14:23:44,"{""box"":{""left"":5790,""right"":3287,""top"":6569,""bottom"":4571},""time"":1733030624764}","55,64",male,,,
1312,LicensePlate,2024-12-01 14:23:47,2024-12-01 14:23:50,"{""box"":{""left"":2654,""right"":6848,""top"":2953,""bottom"":7240},""time"":1733030627566},{""box"":{""left"":2654,""right"":6848,""top"":2953,""bottom"":7240},""time"":1733030629010},{""box"":{""left"":2654,""right"":6848,""top"":2953,""bottom"":7240},""time"":1733030630005}",,,金沢,330,や
1313,LicensePlate,2024-12-01 14:23:50,2024-12-01 14:24:05,"{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030630805},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030631009},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030632015},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030633013},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030634012},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030635020},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030636017},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030637026},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030638054},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030639061},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030640058},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030641025},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030642002},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030643001},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030644007},{""box"":{""left"":5945,""right"":8224,""top"":6515,""bottom"":9365},""time"":1733030645003}",,,金沢,330,や
1314,LicensePlate,2024-12-01 14:24:23,2024-12-01 14:24:23,"{""box"":{""left"":7395,""right"":8259,""top"":7836,""bottom"":10000},""time"":1733030663040}",,,金沢,330,や
