20,LicensePlate,2024-12-01 07:55:45,2024-12-01 07:55:52,"{""box"":{""left"":2275,""right"":6747,""top"":2532,""bottom"":7110},""time"":1733007345176},{""box"":{""left"":2275,""right"":6747,""top"":2532,""bottom"":7110},""time"":1733007347012},{""box"":{""left"":2275,""right"":6747,""top"":2532,""bottom"":7110},""time"":1733007348009},{""box"":{""left"":2275,""right"":6747,""top"":2532,""bottom"":7110},""time"":1733007349017},{""box"":{""left"":2275,""right"":6747,""top"":2532,""bottom"":7110},""time"":1733007350015},{""box"":{""left"":2275,""right"":6747,""top"":2532,""bottom"":7110},""time"":1733007351024},{""box"":{""left"":2275,""right"":6747,""top"":2532,""bottom"":7110},""time"":1733007352019}",,,福井,501,と
24,LicensePlate,2024-12-01 07:56:47,2024-12-01 07:56:49,"{""box"":{""left"":2732,""right"":6901,""top"":3119,""bottom"":7390},""time"":1733007407352},{""box"":{""left"":2732,""right"":6901,""top"":3119,""bottom"":7390},""time"":1733007409010}",,,横浜,334,ほ
25,LicensePlate,2024-12-01 07:56:53,2024-12-01 07:56:55,"{""box"":{""left"":6045,""right"":7610,""top"":6655,""bottom"":8871},""time"":1733007413492},{""box"":{""left"":6045,""right"":7610,""top"":6655,""bottom"":8871},""time"":1733007415000}",,,横浜,334,ほ
