placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
tojinbo-shotaro,Face,2024-11-24 11:00:00,2024-11-24 11:05:00,40,0,15,2,3,1,3,0,5,0,0,1,4,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-11-24 11:05:00,2024-11-24 11:10:00,17,0,2,1,0,1,2,0,0,0,0,1,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-11-24 11:10:00,2024-11-24 11:15:00,19,0,2,1,1,2,1,2,1,4,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-11-24 11:15:00,2024-11-24 11:20:00,16,0,4,2,1,3,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-11-24 11:20:00,2024-11-24 11:25:00,12,0,2,1,0,0,0,0,1,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-11-24 11:25:00,2024-11-24 11:30:00,58,0,3,16,5,3,4,2,1,1,0,3,3,7,6,3,1,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-11-24 11:30:00,2024-11-24 11:35:00,63,0,16,19,10,8,2,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-11-24 11:35:00,2024-11-24 11:40:00,57,0,11,9,9,11,4,1,0,0,0,2,1,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-11-24 11:40:00,2024-11-24 11:45:00,44,0,7,3,1,3,5,3,2,2,0,12,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-11-24 11:45:00,2024-11-24 11:50:00,20,0,1,1,2,2,1,1,2,0,0,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-11-24 11:50:00,2024-11-24 11:55:00,34,0,7,2,4,5,3,3,1,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-11-24 11:55:00,2024-11-24 12:00:00,14,0,2,1,0,0,2,1,0,0,0,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
