619,LicensePlate,2025-01-12 15:01:54,2025-01-12 15:01:59,"{""box"":{""left"":2335,""right"":6817,""top"":2582,""bottom"":7100},""time"":1736661714983}",,,福井,330,つ
620,Face,2025-01-12 15:01:58,2025-01-12 15:01:58,"{""box"":{""left"":2609,""right"":6537,""top"":4875,""bottom"":9447},""time"":1736661718758}","65,",male,,,
621,LicensePlate,2025-01-12 15:02:00,2025-01-12 15:02:10,"{""box"":{""left"":5997,""right"":8192,""top"":6552,""bottom"":9128},""time"":1736661720511}",,,2,34,0
