638,LicensePlate,2025-01-12 15:20:19,2025-01-12 15:20:25,"{""box"":{""left"":4731,""right"":7601,""top"":5290,""bottom"":8588},""time"":1736662819680}",,,福井,501,ぬ
640,LicensePlate,2025-01-12 15:20:32,2025-01-12 15:20:37,"{""box"":{""left"":2314,""right"":6664,""top"":2545,""bottom"":6958},""time"":1736662832502}",,,大宮,503,ひ
641,LicensePlate,2025-01-12 15:20:46,2025-01-12 15:20:55,"{""box"":{""left"":5508,""right"":7636,""top"":6084,""bottom"":8754},""time"":1736662846701}",,,大宮,503,ひ
642,Face,2025-01-12 15:20:56,2025-01-12 15:20:56,"{""box"":{""left"":5253,""right"":4858,""top"":5667,""bottom"":5500},""time"":1736662856262}","18,24",male,,,
647,LicensePlate,2025-01-12 15:20:56,2025-01-12 15:21:00,"{""box"":{""left"":2412,""right"":6494,""top"":2698,""bottom"":6820},""time"":1736662856952}",,,なにわ,330,そ
648,LicensePlate,2025-01-12 15:21:04,2025-01-12 15:21:05,"{""box"":{""left"":5509,""right"":7605,""top"":6211,""bottom"":8960},""time"":1736662864086}",,,なにわ,330,そ
