478,LicensePlate,2024-11-19 12:54:59,2024-11-19 12:55:11,"{""box"":{""left"":2377,""right"":6853,""top"":2682,""bottom"":7157},""time"":1731988499341},{""box"":{""left"":2377,""right"":6853,""top"":2682,""bottom"":7157},""time"":1731988500007},{""box"":{""left"":2377,""right"":6853,""top"":2682,""bottom"":7157},""time"":1731988501005},{""box"":{""left"":2377,""right"":6853,""top"":2682,""bottom"":7157},""time"":1731988502013},{""box"":{""left"":2377,""right"":6853,""top"":2682,""bottom"":7157},""time"":1731988503022},{""box"":{""left"":2377,""right"":6853,""top"":2682,""bottom"":7157},""time"":1731988504024},{""box"":{""left"":2377,""right"":6853,""top"":2682,""bottom"":7157},""time"":1731988505033},{""box"":{""left"":2377,""right"":6853,""top"":2682,""bottom"":7157},""time"":1731988506037},{""box"":{""left"":2377,""right"":6853,""top"":2682,""bottom"":7157},""time"":1731988507001},{""box"":{""left"":2377,""right"":6853,""top"":2682,""bottom"":7157},""time"":1731988508005},{""box"":{""left"":2377,""right"":6853,""top"":2682,""bottom"":7157},""time"":1731988509035},{""box"":{""left"":2377,""right"":6853,""top"":2682,""bottom"":7157},""time"":1731988510046},{""box"":{""left"":2377,""right"":6853,""top"":2682,""bottom"":7157},""time"":1731988511046}",,,滋賀,543,と
480,LicensePlate,2024-11-19 12:56:58,2024-11-19 12:57:13,"{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988618467},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988620037},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988621003},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988622011},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988623009},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988624016},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988625014},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988626022},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988627019},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988628018},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988629025},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988630032},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988631039},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988632037},{""box"":{""left"":2217,""right"":6643,""top"":2478,""bottom"":6900},""time"":1731988633035}",,,富山,301,せ
481,LicensePlate,2024-11-19 12:57:17,2024-11-19 12:57:21,"{""box"":{""left"":5549,""right"":7646,""top"":6180,""bottom"":8896},""time"":1731988637483},{""box"":{""left"":5549,""right"":7646,""top"":6180,""bottom"":8896},""time"":1731988640018},{""box"":{""left"":5549,""right"":7646,""top"":6180,""bottom"":8896},""time"":1731988641016}",,,富山,301,せ
482,Face,2024-11-19 12:57:21,2024-11-19 12:57:22,"{""box"":{""left"":3773,""right"":4242,""top"":4460,""bottom"":5242},""time"":1731988641825},{""box"":{""left"":4240,""right"":3975,""top"":4946,""bottom"":5041},""time"":1731988642028}","55,64",male,,,
483,LicensePlate,2024-11-19 12:57:44,2024-11-19 12:57:51,"{""box"":{""left"":2195,""right"":6674,""top"":2396,""bottom"":6959},""time"":1731988664674},{""box"":{""left"":2195,""right"":6674,""top"":2396,""bottom"":6959},""time"":1731988666216},{""box"":{""left"":2195,""right"":6674,""top"":2396,""bottom"":6959},""time"":1731988667015},{""box"":{""left"":2195,""right"":6674,""top"":2396,""bottom"":6959},""time"":1731988668013},{""box"":{""left"":2195,""right"":6674,""top"":2396,""bottom"":6959},""time"":1731988669021},{""box"":{""left"":2195,""right"":6674,""top"":2396,""bottom"":6959},""time"":1731988670018},{""box"":{""left"":2195,""right"":6674,""top"":2396,""bottom"":6959},""time"":1731988671026}",,,徳島,530,な
484,LicensePlate,2024-11-19 12:57:56,2024-11-19 12:57:59,"{""box"":{""left"":5391,""right"":8176,""top"":6056,""bottom"":9454},""time"":1731988676563},{""box"":{""left"":5391,""right"":8176,""top"":6056,""bottom"":9454},""time"":1731988679006}",,,徳島,530,な
485,Face,2024-11-19 12:58:01,2024-11-19 12:58:01,"{""box"":{""left"":5165,""right"":4639,""top"":5944,""bottom"":5845},""time"":1731988681124}","55,64",female,,,
