126,LicensePlate,2025-01-23 11:35:36,2025-01-23 11:35:38,"{""box"":{""left"":3452,""right"":6887,""top"":3877,""bottom"":7371},""time"":1737599736816}",,,福井,800,あ
130,LicensePlate,2025-01-23 11:37:58,2025-01-23 11:38:03,"{""box"":{""left"":2324,""right"":6669,""top"":2618,""bottom"":7043},""time"":1737599878664}",,,岐阜,301,わ
131,LicensePlate,2025-01-23 11:38:07,2025-01-23 11:38:10,"{""box"":{""left"":5488,""right"":7699,""top"":6143,""bottom"":8957},""time"":1737599887963}",,,岐阜,301,わ
