161,LicensePlate,2025-01-14 15:32:01,2025-01-14 15:32:14,"{""box"":{""left"":2392,""right"":6513,""top"":2680,""bottom"":6916},""time"":1736836321510}",,,京都,200,か
162,LicensePlate,2025-01-14 15:34:30,2025-01-14 15:34:35,"{""box"":{""left"":2537,""right"":6761,""top"":2796,""bottom"":7109},""time"":1736836470236}",,,福井,530,た
163,LicensePlate,2025-01-14 15:34:38,2025-01-14 15:34:40,"{""box"":{""left"":5549,""right"":7986,""top"":6161,""bottom"":9190},""time"":1736836478084}",,,福井,530,た
