235,LicensePlate,2024-12-27 14:19:16,2024-12-27 14:19:40,"{""box"":{""left"":2280,""right"":6715,""top"":2557,""bottom"":7006},""time"":1735276756827}",,,福井,830,ち
238,LicensePlate,2024-12-27 14:21:19,2024-12-27 14:21:22,"{""box"":{""left"":2365,""right"":6814,""top"":2620,""bottom"":7142},""time"":1735276879216}",,,鳥取,300,ゆ
239,LicensePlate,2024-12-27 14:21:25,2024-12-27 14:21:26,"{""box"":{""left"":5184,""right"":8220,""top"":5945,""bottom"":9533},""time"":1735276885030}",,,鳥取,500,ゆ
240,Face,2024-12-27 14:21:27,2024-12-27 14:21:27,"{""box"":{""left"":5023,""right"":5113,""top"":5710,""bottom"":6246},""time"":1735276887504}","25,34",female,,,
