102,LicensePlate,2024-12-22 11:18:57,2024-12-22 11:19:30,"{""box"":{""left"":2154,""right"":6481,""top"":2386,""bottom"":6748},""time"":1734833937618}",,,名古屋,230,い
106,LicensePlate,2024-12-22 11:22:07,2024-12-22 11:22:11,"{""box"":{""left"":2361,""right"":6810,""top"":2606,""bottom"":7138},""time"":1734834127379}",,,大阪,301,わ
108,LicensePlate,2024-12-22 11:22:12,2024-12-22 11:22:15,"{""box"":{""left"":6133,""right"":7998,""top"":6716,""bottom"":9356},""time"":1734834132721}",,,大阪,301,わ
109,LicensePlate,2024-12-22 11:23:04,2024-12-22 11:23:09,"{""box"":{""left"":2503,""right"":6257,""top"":2745,""bottom"":6540},""time"":1734834184024}",,,堺,100,さ
110,LicensePlate,2024-12-22 11:23:18,2024-12-22 11:23:18,"{""box"":{""left"":5893,""right"":6649,""top"":6522,""bottom"":7880},""time"":1734834198523}",,,堺,100,さ
