354,LicensePlate,2024-11-28 12:08:59,2024-11-28 12:09:42,"{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763339900},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763341020},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763342026},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763343030},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763344028},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763345025},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763346001},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763347037},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763348003},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763349009},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763350036},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763351043},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763352040},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763353005},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763354011},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763355006},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763356011},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763357008},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763358012},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763359009},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763360015},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763361020},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763362016},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763363022},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763364018},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763365025},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763366063},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763367061},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763368058},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763369065},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763370030},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763371028},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763372035},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763373030},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763374036},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763375002},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763376009},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763377005},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763378002},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763379010},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763380007},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763381043},{""box"":{""left"":2669,""right"":6663,""top"":2942,""bottom"":6988},""time"":1732763382050}",,,福井,500,わ
355,LicensePlate,2024-11-28 12:10:41,2024-11-28 12:10:59,"{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763441450},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763446021},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763447028},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763448025},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763449033},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763450000},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763451037},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763452004},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763453002},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763454009},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763455015},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763456041},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763457048},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763458044},{""box"":{""left"":2377,""right"":6632,""top"":2621,""bottom"":7027},""time"":1732763459012}",,,岐阜,537,た
357,LicensePlate,2024-11-28 12:11:03,2024-11-28 12:11:06,"{""box"":{""left"":5560,""right"":7659,""top"":6198,""bottom"":8956},""time"":1732763463595},{""box"":{""left"":5560,""right"":7659,""top"":6198,""bottom"":8956},""time"":1732763466004}",,,岐阜,537,た
