279,LicensePlate,2024-11-28 11:28:36,2024-11-28 11:28:45,"{""box"":{""left"":2308,""right"":7033,""top"":2629,""bottom"":7447},""time"":1732760916103},{""box"":{""left"":2308,""right"":7033,""top"":2629,""bottom"":7447},""time"":1732760917099},{""box"":{""left"":2308,""right"":7033,""top"":2629,""bottom"":7447},""time"":1732760918004},{""box"":{""left"":2308,""right"":7033,""top"":2629,""bottom"":7447},""time"":1732760919001},{""box"":{""left"":2308,""right"":7033,""top"":2629,""bottom"":7447},""time"":1732760920009},{""box"":{""left"":2308,""right"":7033,""top"":2629,""bottom"":7447},""time"":1732760921006},{""box"":{""left"":2308,""right"":7033,""top"":2629,""bottom"":7447},""time"":1732760922013},{""box"":{""left"":2308,""right"":7033,""top"":2629,""bottom"":7447},""time"":1732760923011},{""box"":{""left"":2308,""right"":7033,""top"":2629,""bottom"":7447},""time"":1732760924018},{""box"":{""left"":2308,""right"":7033,""top"":2629,""bottom"":7447},""time"":1732760925014}",,,京都,586,み
282,LicensePlate,2024-11-28 11:33:02,2024-11-28 11:33:06,"{""box"":{""left"":2339,""right"":6772,""top"":2629,""bottom"":7095},""time"":1732761182003},{""box"":{""left"":2339,""right"":6772,""top"":2629,""bottom"":7095},""time"":1732761183008},{""box"":{""left"":2339,""right"":6772,""top"":2629,""bottom"":7095},""time"":1732761184016},{""box"":{""left"":2339,""right"":6772,""top"":2629,""bottom"":7095},""time"":1732761185013},{""box"":{""left"":2339,""right"":6772,""top"":2629,""bottom"":7095},""time"":1732761186020}",,,福井,300,ぬ
284,LicensePlate,2024-11-28 11:33:07,2024-11-28 11:33:15,"{""box"":{""left"":6134,""right"":8002,""top"":6678,""bottom"":9198},""time"":1732761187987},{""box"":{""left"":6134,""right"":8002,""top"":6678,""bottom"":9198},""time"":1732761189023},{""box"":{""left"":6134,""right"":8002,""top"":6678,""bottom"":9198},""time"":1732761190031},{""box"":{""left"":6134,""right"":8002,""top"":6678,""bottom"":9198},""time"":1732761191059},{""box"":{""left"":6134,""right"":8002,""top"":6678,""bottom"":9198},""time"":1732761192066},{""box"":{""left"":6134,""right"":8002,""top"":6678,""bottom"":9198},""time"":1732761193003},{""box"":{""left"":6134,""right"":8002,""top"":6678,""bottom"":9198},""time"":1732761194002},{""box"":{""left"":6134,""right"":8002,""top"":6678,""bottom"":9198},""time"":1732761195010}",,,福井,300,ぬ
