498,LicensePlate,2024-11-28 13:37:02,2024-11-28 13:37:06,"{""box"":{""left"":2694,""right"":6662,""top"":2935,""bottom"":7005},""time"":1732768622700},{""box"":{""left"":2694,""right"":6662,""top"":2935,""bottom"":7005},""time"":1732768623030},{""box"":{""left"":2694,""right"":6662,""top"":2935,""bottom"":7005},""time"":1732768624026},{""box"":{""left"":2694,""right"":6662,""top"":2935,""bottom"":7005},""time"":1732768625064},{""box"":{""left"":2694,""right"":6662,""top"":2935,""bottom"":7005},""time"":1732768626070}",,,三重,301,り
501,LicensePlate,2024-11-28 13:37:17,2024-11-28 13:38:12,"{""box"":{""left"":6646,""right"":7398,""top"":7086,""bottom"":8365},""time"":1732768637298},{""box"":{""left"":6646,""right"":7398,""top"":7086,""bottom"":8365},""time"":1732768682004},{""box"":{""left"":6646,""right"":7398,""top"":7086,""bottom"":8365},""time"":1732768683005},{""box"":{""left"":6646,""right"":7398,""top"":7086,""bottom"":8365},""time"":1732768684014},{""box"":{""left"":6646,""right"":7398,""top"":7086,""bottom"":8365},""time"":1732768685014},{""box"":{""left"":6646,""right"":7398,""top"":7086,""bottom"":8365},""time"":1732768686020},{""box"":{""left"":6646,""right"":7398,""top"":7086,""bottom"":8365},""time"":1732768687017},{""box"":{""left"":6646,""right"":7398,""top"":7086,""bottom"":8365},""time"":1732768688025},{""box"":{""left"":6646,""right"":7398,""top"":7086,""bottom"":8365},""time"":1732768689031},{""box"":{""left"":6646,""right"":7398,""top"":7086,""bottom"":8365},""time"":1732768690029},{""box"":{""left"":6646,""right"":7398,""top"":7086,""bottom"":8365},""time"":1732768691027},{""box"":{""left"":6646,""right"":7398,""top"":7086,""bottom"":8365},""time"":1732768692105}",,,0,67,5
502,Face,2024-11-28 13:37:18,2024-11-28 13:37:22,"{""box"":{""left"":2632,""right"":4788,""top"":2976,""bottom"":5320},""time"":1732768638167}","65,",male,,,
503,Face,2024-11-28 13:37:55,2024-11-28 13:38:04,"{""box"":{""left"":1945,""right"":5054,""top"":2289,""bottom"":5554},""time"":1732768675254},{""box"":{""left"":2254,""right"":4914,""top"":2640,""bottom"":5462},""time"":1732768681639},{""box"":{""left"":2437,""right"":4907,""top"":2796,""bottom"":5435},""time"":1732768682411}","65,",male,,,
