placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2024-10-26 08:00:00,2024-10-26 08:05:00,39
tojinbo-shotaro,Person,2024-10-26 08:05:00,2024-10-26 08:10:00,82
tojinbo-shotaro,Person,2024-10-26 08:10:00,2024-10-26 08:15:00,43
tojinbo-shotaro,Person,2024-10-26 08:15:00,2024-10-26 08:20:00,61
tojinbo-shotaro,Person,2024-10-26 08:20:00,2024-10-26 08:25:00,62
tojinbo-shotaro,Person,2024-10-26 08:25:00,2024-10-26 08:30:00,99
tojinbo-shotaro,Person,2024-10-26 08:30:00,2024-10-26 08:35:00,68
tojinbo-shotaro,Person,2024-10-26 08:35:00,2024-10-26 08:40:00,43
tojinbo-shotaro,Person,2024-10-26 08:40:00,2024-10-26 08:45:00,73
tojinbo-shotaro,Person,2024-10-26 08:45:00,2024-10-26 08:50:00,20
tojinbo-shotaro,Person,2024-10-26 08:50:00,2024-10-26 08:55:00,20
tojinbo-shotaro,Person,2024-10-26 08:55:00,2024-10-26 09:00:00,57
