590,LicensePlate,2024-12-02 13:04:44,2024-12-02 13:05:12,"{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112284828},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112286053},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112287061},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112288059},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112289067},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112290035},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112291000},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112292008},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112293005},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112294013},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112295012},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112296020},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112297017},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112298026},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112299024},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112300061},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112301058},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112302066},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112303027},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112304004},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112305001},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112306009},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112307006},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112308015},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112309012},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112310010},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112311017},{""box"":{""left"":2834,""right"":6707,""top"":3134,""bottom"":7137},""time"":1733112312055}",,,神戸,356,ね
591,Face,2024-12-02 13:07:08,2024-12-02 13:07:08,"{""box"":{""left"":4414,""right"":4226,""top"":4757,""bottom"":4695},""time"":1733112428953}","65,",male,,,
592,LicensePlate,2024-12-02 13:07:13,2024-12-02 13:07:18,"{""box"":{""left"":2524,""right"":6748,""top"":2755,""bottom"":7079},""time"":1733112433329},{""box"":{""left"":2524,""right"":6748,""top"":2755,""bottom"":7079},""time"":1733112434099},{""box"":{""left"":2524,""right"":6748,""top"":2755,""bottom"":7079},""time"":1733112435029},{""box"":{""left"":2524,""right"":6748,""top"":2755,""bottom"":7079},""time"":1733112436005},{""box"":{""left"":2524,""right"":6748,""top"":2755,""bottom"":7079},""time"":1733112437004},{""box"":{""left"":2524,""right"":6748,""top"":2755,""bottom"":7079},""time"":1733112438001}",,,福井,500,わ
593,Face,2024-12-02 13:07:13,2024-12-02 13:07:14,"{""box"":{""left"":1539,""right"":4913,""top"":1882,""bottom"":5382},""time"":1733112433998}","55,64",male,,,
594,LicensePlate,2024-12-02 13:07:21,2024-12-02 13:07:24,"{""box"":{""left"":5818,""right"":7572,""top"":6335,""bottom"":8733},""time"":1733112441283},{""box"":{""left"":5818,""right"":7572,""top"":6335,""bottom"":8733},""time"":1733112444058}",,,福井,500,わ
595,Face,2024-12-02 13:07:23,2024-12-02 13:07:24,"{""box"":{""left"":1840,""right"":4960,""top"":2206,""bottom"":5460},""time"":1733112443831}","55,64",male,,,
596,Face,2024-12-02 13:07:57,2024-12-02 13:07:57,"{""box"":{""left"":2309,""right"":4757,""top"":2675,""bottom"":5289},""time"":1733112477672}","45,54",male,,,
