523,LicensePlate,2024-12-02 12:25:22,2024-12-02 12:25:44,"{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109922791},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109924005},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109925013},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109926010},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109927019},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109928028},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109929026},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109930036},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109931034},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109932002},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109933000},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109934007},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109935015},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109936013},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109937021},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109938019},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109939017},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109940025},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109941024},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109942000},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109943010},{""box"":{""left"":2072,""right"":6879,""top"":2335,""bottom"":7142},""time"":1733109944039}",,,京都,531,や
524,Face,2024-12-02 12:25:44,2024-12-02 12:25:44,"{""box"":{""left"":4742,""right"":4778,""top"":5614,""bottom"":6128},""time"":1733109944849}","65,",male,,,
526,LicensePlate,2024-12-02 12:27:06,2024-12-02 12:27:06,"{""box"":{""left"":2405,""right"":6740,""top"":2718,""bottom"":7160},""time"":1733110026179}",,,奈良,534,も
527,LicensePlate,2024-12-02 12:27:09,2024-12-02 12:27:20,"{""box"":{""left"":2473,""right"":6810,""top"":2824,""bottom"":7242},""time"":1733110029827},{""box"":{""left"":2473,""right"":6810,""top"":2824,""bottom"":7242},""time"":1733110031027},{""box"":{""left"":2473,""right"":6810,""top"":2824,""bottom"":7242},""time"":1733110032066},{""box"":{""left"":2473,""right"":6810,""top"":2824,""bottom"":7242},""time"":1733110033063},{""box"":{""left"":2473,""right"":6810,""top"":2824,""bottom"":7242},""time"":1733110034001},{""box"":{""left"":2473,""right"":6810,""top"":2824,""bottom"":7242},""time"":1733110035000},{""box"":{""left"":2473,""right"":6810,""top"":2824,""bottom"":7242},""time"":1733110037548},{""box"":{""left"":2473,""right"":6810,""top"":2824,""bottom"":7242},""time"":1733110038006},{""box"":{""left"":2473,""right"":6810,""top"":2824,""bottom"":7242},""time"":1733110039015},{""box"":{""left"":2473,""right"":6810,""top"":2824,""bottom"":7242},""time"":1733110040022}",,,奈良,534,も
