120,LicensePlate,2024-12-26 10:14:14,2024-12-26 10:14:27,"{""box"":{""left"":2314,""right"":6706,""top"":2569,""bottom"":7076},""time"":1735175654816}",,,大阪,301,わ
121,LicensePlate,2024-12-26 10:15:45,2024-12-26 10:15:50,"{""box"":{""left"":2404,""right"":6567,""top"":2666,""bottom"":6874},""time"":1735175745074}",,,福井,353,ら
122,LicensePlate,2024-12-26 10:15:54,2024-12-26 10:15:58,"{""box"":{""left"":5902,""right"":7452,""top"":6500,""bottom"":8741},""time"":1735175754933}",,,福井,353,ら
