167,LicensePlate,2024-12-25 13:22:00,2024-12-25 13:22:22,"{""box"":{""left"":2405,""right"":6749,""top"":2717,""bottom"":7104},""time"":1735100520482}",,,富山,502,は
170,LicensePlate,2024-12-25 13:23:09,2024-12-25 13:23:14,"{""box"":{""left"":2361,""right"":6885,""top"":2611,""bottom"":7202},""time"":1735100589238}",,,三重,302,せ
171,LicensePlate,2024-12-25 13:23:15,2024-12-25 13:23:21,"{""box"":{""left"":5880,""right"":8350,""top"":6504,""bottom"":9592},""time"":1735100595200}",,,三重,302,せ
