81,LicensePlate,2024-11-13 08:42:53,2024-11-13 08:42:54,"{""box"":{""left"":5888,""right"":8010,""top"":6472,""bottom"":9470},""time"":1731454973570}",,,大阪,503,わ
82,Face,2024-11-13 08:42:55,2024-11-13 08:42:55,"{""box"":{""left"":5626,""right"":5022,""top"":6357,""bottom"":5961},""time"":1731454975810}","55,64",male,,,
83,LicensePlate,2024-11-13 08:44:58,2024-11-13 08:45:05,"{""box"":{""left"":2180,""right"":6780,""top"":2469,""bottom"":7079},""time"":1731455098744},{""box"":{""left"":2180,""right"":6780,""top"":2469,""bottom"":7079},""time"":1731455100013},{""box"":{""left"":2180,""right"":6780,""top"":2469,""bottom"":7079},""time"":1731455101021},{""box"":{""left"":2180,""right"":6780,""top"":2469,""bottom"":7079},""time"":1731455102018},{""box"":{""left"":2180,""right"":6780,""top"":2469,""bottom"":7079},""time"":1731455103016},{""box"":{""left"":2180,""right"":6780,""top"":2469,""bottom"":7079},""time"":1731455104024},{""box"":{""left"":2180,""right"":6780,""top"":2469,""bottom"":7079},""time"":1731455105031}",,,京都,301,ふ
84,LicensePlate,2024-11-13 08:45:08,2024-11-13 08:45:11,"{""box"":{""left"":5473,""right"":7955,""top"":6138,""bottom"":9257},""time"":1731455108935}",,,京都,301,ふ
85,Face,2024-11-13 08:45:12,2024-11-13 08:45:12,"{""box"":{""left"":4850,""right"":5601,""top"":5319,""bottom"":6243},""time"":1731455112460}","55,64",male,,,
86,Face,2024-11-13 08:45:12,2024-11-13 08:45:12,"{""box"":{""left"":6363,""right"":4925,""top"":7245,""bottom"":6058},""time"":1731455112652}","45,54",male,,,
