293,LicensePlate,2024-12-13 14:53:58,2024-12-13 14:54:00,"{""box"":{""left"":4459,""right"":6727,""top"":5060,""bottom"":7638},""time"":1734069238413}",,,福井,200,か
294,Face,2024-12-13 14:54:04,2024-12-13 14:54:07,"{""box"":{""left"":141,""right"":4259,""top"":641,""bottom"":4986},""time"":1734069244651}","65,",female,,,
297,LicensePlate,2024-12-13 14:54:06,2024-12-13 14:54:10,"{""box"":{""left"":2408,""right"":6569,""top"":2694,""bottom"":6906},""time"":1734069246717}",,,金沢,500,む
298,LicensePlate,2024-12-13 14:54:12,2024-12-13 14:54:13,"{""box"":{""left"":5990,""right"":7263,""top"":6554,""bottom"":8558},""time"":1734069252325}",,,金沢,500,む
299,Face,2024-12-13 14:54:14,2024-12-13 14:54:14,"{""box"":{""left"":4973,""right"":5054,""top"":5419,""bottom"":5790},""time"":1734069254071}","45,54",female,,,
300,Face,2024-12-13 14:54:14,2024-12-13 14:54:14,"{""box"":{""left"":1335,""right"":4327,""top"":1835,""bottom"":4969},""time"":1734069254162}","65,",male,,,
